Sector,Month,Jurisdiction,Number_of_Agreements,Number_of_Employees,Duration_Months_Avg,First_Year_Pct_Adjustment_Avg,Annual_Pct_Adjustment_Avg,Extraction_Date
All sectors,November 2024,Federal Jurisdiction,1.0,1020.0,48.0,4.8,3.1,2025-10-21
All sectors,November 2024,Provincial Jurisdiction,5.0,5874.0,36.4,3.5,3.4,2025-10-21
Public sector,November 2024,All Jurisdictions,6.0,6894.0,38.1,3.7,3.4,2025-10-21
Public sector,November 2024,Federal Jurisdiction,1.0,1020.0,48.0,4.8,3.1,2025-10-21
Public sector,November 2024,Provincial Jurisdiction,5.0,5874.0,36.4,3.5,3.4,2025-10-21
All sectors,December 2024,All Jurisdictions,15.0,125802.0,52.7,5.3,3.7,2025-10-21
All sectors,December 2024,Federal Jurisdiction,4.0,9004.0,48.0,4.8,3.2,2025-10-21
All sectors,December 2024,Provincial Jurisdiction,11.0,116798.0,53.0,5.4,3.7,2025-10-21
Private sector,December 2024,All Jurisdictions,7.0,13801.0,57.2,2.8,3.7,2025-10-21
Private sector,December 2024,Federal Jurisdiction,2.0,2594.0,48.0,4.7,3.2,2025-10-21
Private sector,December 2024,Provincial Jurisdiction,5.0,11207.0,59.3,2.4,3.8,2025-10-21
Public sector,December 2024,All Jurisdictions,8.0,112001.0,52.1,5.7,3.7,2025-10-21
Public sector,December 2024,Federal Jurisdiction,2.0,6410.0,48.0,4.8,3.2,2025-10-21
Public sector,December 2024,Provincial Jurisdiction,6.0,105591.0,52.4,5.7,3.7,2025-10-21
All sectors,January 2025,All Jurisdictions,7.0,13702.0,57.6,5.3,3.3,2025-10-21
All sectors,January 2025,Federal Jurisdiction,1.0,536.0,36.0,3.0,3.0,2025-10-21
All sectors,January 2025,Provincial Jurisdiction,6.0,13166.0,58.5,5.4,3.3,2025-10-21
Private sector,January 2025,All Jurisdictions,3.0,3916.0,58.0,3.6,3.2,2025-10-21
Private sector,January 2025,Federal Jurisdiction,1.0,536.0,36.0,3.0,3.0,2025-10-21
Private sector,January 2025,Provincial Jurisdiction,2.0,3380.0,61.5,3.6,3.3,2025-10-21
Public sector,January 2025,All Jurisdictions,4.0,9786.0,57.5,6.1,3.3,2025-10-21
Public sector,January 2025,Provincial Jurisdiction,4.0,9786.0,57.5,6.1,3.3,2025-10-21
All sectors,February 2025,All Jurisdictions,8.0,15157.0,45.3,4.7,3.6,2025-10-21
All sectors,February 2025,Federal Jurisdiction,5.0,12727.0,46.7,5.0,3.8,2025-10-21
All sectors,February 2025,Provincial Jurisdiction,3.0,2430.0,37.9,2.7,2.6,2025-10-21
Private sector,February 2025,All Jurisdictions,4.0,5057.0,44.9,5.5,4.0,2025-10-21
Private sector,February 2025,Federal Jurisdiction,4.0,5057.0,44.9,5.5,4.0,2025-10-21
Public sector,February 2025,All Jurisdictions,4.0,10100.0,45.6,4.3,3.4,2025-10-21
Public sector,February 2025,Federal Jurisdiction,1.0,7670.0,48.0,4.7,3.7,2025-10-21
Public sector,February 2025,Provincial Jurisdiction,3.0,2430.0,37.9,2.7,2.6,2025-10-21
All sectors,March 2025,All Jurisdictions,6.0,22135.0,47.7,3.1,3.3,2025-10-21
All sectors,March 2025,Provincial Jurisdiction,6.0,22135.0,47.7,3.1,3.3,2025-10-21
Private sector,March 2025,All Jurisdictions,1.0,1404.0,72.0,0.0,1.8,2025-10-21
Private sector,March 2025,Provincial Jurisdiction,1.0,1404.0,72.0,0.0,1.8,2025-10-21
Public sector,March 2025,All Jurisdictions,5.0,20731.0,46.0,3.4,3.4,2025-10-21
Public sector,March 2025,Provincial Jurisdiction,5.0,20731.0,46.0,3.4,3.4,2025-10-21
All sectors,April 2025,All Jurisdictions,13.0,172748.0,46.9,6.3,4.6,2025-10-21
All sectors,April 2025,Provincial Jurisdiction,13.0,172748.0,46.9,6.3,4.6,2025-10-21
Private sector,April 2025,All Jurisdictions,6.0,116015.0,47.8,7.7,5.3,2025-10-21
Private sector,April 2025,Provincial Jurisdiction,6.0,116015.0,47.8,7.7,5.3,2025-10-21
Public sector,April 2025,All Jurisdictions,7.0,56733.0,45.3,3.4,3.1,2025-10-21
Public sector,April 2025,Provincial Jurisdiction,7.0,56733.0,45.3,3.4,3.1,2025-10-21
All sectors,May 2025,All Jurisdictions,9.0,25184.0,45.1,3.1,3.0,2025-10-21
All sectors,May 2025,Provincial Jurisdiction,9.0,25184.0,45.1,3.1,3.0,2025-10-21
Private sector,May 2025,All Jurisdictions,4.0,11083.0,46.3,2.9,2.8,2025-10-21
Private sector,May 2025,Provincial Jurisdiction,4.0,11083.0,46.3,2.9,2.8,2025-10-21
Public sector,May 2025,All Jurisdictions,5.0,14101.0,44.2,3.2,3.1,2025-10-21
Public sector,May 2025,Provincial Jurisdiction,5.0,14101.0,44.2,3.2,3.1,2025-10-21
All sectors,June 2025,All Jurisdictions,4.0,4657.0,53.6,3.6,3.4,2025-10-21
All sectors,June 2025,Federal Jurisdiction,1.0,733.0,48.0,5.0,4.5,2025-10-21
All sectors,June 2025,Provincial Jurisdiction,3.0,3924.0,54.7,3.3,3.2,2025-10-21
Private sector,June 2025,All Jurisdictions,2.0,1523.0,47.1,4.7,3.5,2025-10-21
Private sector,June 2025,Federal Jurisdiction,1.0,733.0,48.0,5.0,4.5,2025-10-21
Private sector,June 2025,Provincial Jurisdiction,1.0,790.0,46.3,4.4,2.5,2025-10-21
Public sector,June 2025,All Jurisdictions,2.0,3134.0,56.8,3.0,3.4,2025-10-21
Public sector,June 2025,Provincial Jurisdiction,2.0,3134.0,56.8,3.0,3.4,2025-10-21
All sectors,July 2025,All Jurisdictions,4.0,45658.0,48.4,7.4,2.1,2025-10-21
All sectors,July 2025,Federal Jurisdiction,2.0,3336.0,54.0,4.0,3.4,2025-10-21
All sectors,July 2025,Provincial Jurisdiction,2.0,42322.0,48.0,7.7,2.0,2025-10-21
Private sector,July 2025,All Jurisdictions,2.0,42230.0,48.7,7.8,2.0,2025-10-21
Private sector,July 2025,Federal Jurisdiction,1.0,2500.0,60.0,4.0,3.4,2025-10-21
Private sector,July 2025,Provincial Jurisdiction,1.0,39730.0,48.0,8.0,1.9,2025-10-21
Public sector,July 2025,All Jurisdictions,2.0,3428.0,44.6,3.2,3.2,2025-10-21
Public sector,July 2025,Federal Jurisdiction,1.0,836.0,36.0,4.0,3.5,2025-10-21
Public sector,July 2025,Provincial Jurisdiction,1.0,2592.0,47.4,3.0,3.0,2025-10-21
All sectors,Q32022,All Jurisdictions,46.0,207945.0,47.3,2.1,1.9,2025-10-21
All sectors,Q32022,Federal Jurisdiction,13.0,30144.0,49.2,3.5,3.0,2025-10-21
All sectors,Q32022,Provincial Jurisdiction,33.0,177801.0,46.9,1.8,1.7,2025-10-21
Private sector,Q32022,All Jurisdictions,17.0,54160.0,51.9,4.7,3.4,2025-10-21
Private sector,Q32022,Federal Jurisdiction,8.0,24579.0,51.0,3.6,3.1,2025-10-21
Private sector,Q32022,Provincial Jurisdiction,9.0,29581.0,52.7,5.7,3.6,2025-10-21
Public sector,Q32022,All Jurisdictions,29.0,153785.0,45.6,1.1,1.4,2025-10-21
Public sector,Q32022,Federal Jurisdiction,5.0,5565.0,41.0,3.3,2.7,2025-10-21
Public sector,Q32022,Provincial Jurisdiction,24.0,148220.0,45.8,1.1,1.3,2025-10-21
All sectors,Q42022,All Jurisdictions,44.0,246342.0,39.3,3.9,3.6,2025-10-21
All sectors,Q42022,Federal Jurisdiction,6.0,9188.0,48.8,3.3,2.7,2025-10-21
All sectors,Q42022,Provincial Jurisdiction,38.0,237154.0,39.0,3.9,3.6,2025-10-21
Private sector,Q42022,All Jurisdictions,9.0,15408.0,46.9,4.6,3.7,2025-10-21
Private sector,Q42022,Federal Jurisdiction,5.0,4688.0,49.5,3.0,2.7,2025-10-21
Private sector,Q42022,Provincial Jurisdiction,4.0,10720.0,45.7,5.3,4.2,2025-10-21
Public sector,Q42022,All Jurisdictions,35.0,230934.0,38.8,3.8,3.6,2025-10-21
Public sector,Q42022,Federal Jurisdiction,1.0,4500.0,48.0,3.5,2.8,2025-10-21
Public sector,Q42022,Provincial Jurisdiction,34.0,226434.0,38.6,3.8,3.6,2025-10-21
All sectors,Q12023,All Jurisdictions,30.0,61655.0,42.6,3.8,3.4,2025-10-21
All sectors,Q12023,Federal Jurisdiction,5.0,11340.0,55.9,1.3,2.6,2025-10-21
All sectors,Q12023,Provincial Jurisdiction,25.0,50315.0,39.6,4.4,3.6,2025-10-21
Private sector,Q12023,All Jurisdictions,10.0,26380.0,37.8,4.8,4.0,2025-10-21
Private sector,Q12023,Federal Jurisdiction,4.0,9390.0,55.0,1.0,2.5,2025-10-21
Private sector,Q12023,Provincial Jurisdiction,6.0,16990.0,28.3,6.9,4.9,2025-10-21
Public sector,Q12023,All Jurisdictions,20.0,35275.0,46.2,3.0,3.0,2025-10-21
Public sector,Q12023,Federal Jurisdiction,1.0,1950.0,60.0,2.8,2.9,2025-10-21
Public sector,Q12023,Provincial Jurisdiction,19.0,33325.0,45.4,3.0,3.0,2025-10-21
All sectors,Q22023,All Jurisdictions,51.0,308518.0,42.4,2.6,3.0,2025-10-21
All sectors,Q22023,Federal Jurisdiction,15.0,189076.0,46.2,2.5,3.2,2025-10-21
All sectors,Q22023,Provincial Jurisdiction,36.0,119442.0,36.3,2.7,2.8,2025-10-21
Private sector,Q22023,All Jurisdictions,18.0,34841.0,30.4,6.8,4.9,2025-10-21
Private sector,Q22023,Federal Jurisdiction,9.0,18021.0,29.8,7.4,4.5,2025-10-21
Private sector,Q22023,Provincial Jurisdiction,9.0,16820.0,31.2,6.3,5.4,2025-10-21
Public sector,Q22023,All Jurisdictions,33.0,273677.0,43.9,2.0,2.8,2025-10-21
Public sector,Q22023,Federal Jurisdiction,6.0,171055.0,48.0,2.0,3.0,2025-10-21
Public sector,Q22023,Provincial Jurisdiction,27.0,102622.0,37.1,2.1,2.4,2025-10-21
All sectors,Q32023,All Jurisdictions,46.0,169307.0,37.5,5.4,4.3,2025-10-21
All sectors,Q32023,Federal Jurisdiction,12.0,36336.0,46.5,3.0,3.7,2025-10-21
All sectors,Q32023,Provincial Jurisdiction,34.0,132971.0,35.0,6.0,4.4,2025-10-21
Private sector,Q32023,All Jurisdictions,14.0,24965.0,43.1,6.5,4.5,2025-10-21
Private sector,Q32023,Federal Jurisdiction,8.0,15341.0,45.7,4.8,4.6,2025-10-21
Private sector,Q32023,Provincial Jurisdiction,6.0,9624.0,39.0,9.1,4.3,2025-10-21
Public sector,Q32023,All Jurisdictions,32.0,144342.0,36.5,5.2,4.2,2025-10-21
Public sector,Q32023,Federal Jurisdiction,4.0,20995.0,47.0,1.7,3.0,2025-10-21
Public sector,Q32023,Provincial Jurisdiction,28.0,123347.0,34.7,5.8,4.4,2025-10-21
All sectors,Q42023,All Jurisdictions,32.0,180530.0,48.9,4.0,3.0,2025-10-21
All sectors,Q42023,Federal Jurisdiction,4.0,26541.0,50.5,3.8,3.3,2025-10-21
All sectors,Q42023,Provincial Jurisdiction,28.0,153989.0,48.6,4.0,3.0,2025-10-21
Private sector,Q42023,All Jurisdictions,10.0,35496.0,54.2,7.4,3.7,2025-10-21
Private sector,Q42023,Federal Jurisdiction,1.0,681.0,60.0,5.0,4.0,2025-10-21
Private sector,Q42023,Provincial Jurisdiction,9.0,34815.0,54.0,7.4,3.7,2025-10-21
Public sector,Q42023,All Jurisdictions,22.0,145034.0,47.6,3.1,2.9,2025-10-21
Public sector,Q42023,Federal Jurisdiction,3.0,25860.0,50.2,3.8,3.2,2025-10-21
Public sector,Q42023,Provincial Jurisdiction,19.0,119174.0,47.0,3.0,2.8,2025-10-21
All sectors,Q12024,All Jurisdictions,33.0,188927.0,45.9,3.0,2.6,2025-10-21
All sectors,Q12024,Federal Jurisdiction,6.0,14181.0,44.7,4.6,2.7,2025-10-21
All sectors,Q12024,Provincial Jurisdiction,27.0,174746.0,46.0,2.9,2.6,2025-10-21
Private sector,Q12024,All Jurisdictions,8.0,21291.0,42.5,2.6,2.4,2025-10-21
Private sector,Q12024,Federal Jurisdiction,3.0,3500.0,50.4,4.9,3.3,2025-10-21
Private sector,Q12024,Provincial Jurisdiction,5.0,17791.0,40.9,2.2,2.2,2025-10-21
Public sector,Q12024,All Jurisdictions,25.0,167636.0,46.3,3.1,2.6,2025-10-21
Public sector,Q12024,Federal Jurisdiction,3.0,10681.0,42.8,4.5,2.6,2025-10-21
Public sector,Q12024,Provincial Jurisdiction,22.0,156955.0,46.6,3.0,2.6,2025-10-21
All sectors,Q22024,All Jurisdictions,56.0,653329.0,53.5,5.3,3.5,2025-10-21
All sectors,Q22024,Federal Jurisdiction,6.0,32460.0,23.5,4.1,4.1,2025-10-21
All sectors,Q22024,Provincial Jurisdiction,50.0,620869.0,55.1,5.4,3.5,2025-10-21
Private sector,Q22024,All Jurisdictions,9.0,17020.0,28.5,4.9,4.2,2025-10-21
Private sector,Q22024,Federal Jurisdiction,5.0,13460.0,22.7,4.2,4.2,2025-10-21
Private sector,Q22024,Provincial Jurisdiction,4.0,3560.0,50.7,7.3,3.9,2025-10-21
Public sector,Q22024,All Jurisdictions,47.0,636309.0,54.2,5.3,3.5,2025-10-21
Public sector,Q22024,Federal Jurisdiction,1.0,19000.0,24.0,4.0,4.0,2025-10-21
Public sector,Q22024,Provincial Jurisdiction,46.0,617309.0,55.1,5.4,3.5,2025-10-21
All sectors,Q32024,All Jurisdictions,27.0,95429.0,42.8,4.1,3.3,2025-10-21
All sectors,Q32024,Federal Jurisdiction,4.0,10857.0,47.9,5.6,3.8,2025-10-21
All sectors,Q32024,Provincial Jurisdiction,23.0,84572.0,42.1,3.9,3.3,2025-10-21
Private sector,Q32024,All Jurisdictions,8.0,13506.0,33.5,7.7,4.5,2025-10-21
Private sector,Q32024,Federal Jurisdiction,2.0,1205.0,54.0,12.7,4.8,2025-10-21
Private sector,Q32024,Provincial Jurisdiction,6.0,12301.0,31.5,7.2,4.5,2025-10-21
Public sector,Q32024,All Jurisdictions,19.0,81923.0,44.3,3.5,3.1,2025-10-21
Public sector,Q32024,Federal Jurisdiction,2.0,9652.0,47.2,4.7,3.7,2025-10-21
Public sector,Q32024,Provincial Jurisdiction,17.0,72271.0,43.9,3.4,3.1,2025-10-21
All sectors,Q42024,All Jurisdictions,29.0,177872.0,50.3,4.8,3.7,2025-10-21
All sectors,Q42024,Federal Jurisdiction,7.0,11704.0,46.8,4.7,3.2,2025-10-21
All sectors,Q42024,Provincial Jurisdiction,22.0,166168.0,50.6,4.8,3.7,2025-10-21
Private sector,Q42024,All Jurisdictions,9.0,21097.0,53.3,3.0,3.5,2025-10-21
Private sector,Q42024,Federal Jurisdiction,3.0,3194.0,43.5,4.4,3.2,2025-10-21
Private sector,Q42024,Provincial Jurisdiction,6.0,17903.0,55.1,2.8,3.5,2025-10-21
Public sector,Q42024,All Jurisdictions,20.0,156775.0,49.9,5.0,3.7,2025-10-21
Public sector,Q42024,Federal Jurisdiction,4.0,8510.0,48.0,4.8,3.2,2025-10-21
Public sector,Q42024,Provincial Jurisdiction,16.0,148265.0,50.0,5.0,3.7,2025-10-21
All sectors,Q12025,All Jurisdictions,21.0,50994.0,49.7,4.2,3.4,2025-10-21
All sectors,Q12025,Federal Jurisdiction,6.0,13263.0,46.3,4.9,3.8,2025-10-21
All sectors,Q12025,Provincial Jurisdiction,15.0,37731.0,50.8,3.9,3.2,2025-10-21
Private sector,Q12025,All Jurisdictions,8.0,10377.0,53.5,4.0,3.4,2025-10-21
Private sector,Q12025,Federal Jurisdiction,5.0,5593.0,44.0,5.2,3.9,2025-10-21
Private sector,Q12025,Provincial Jurisdiction,3.0,4784.0,64.6,2.6,2.8,2025-10-21
Public sector,Q12025,All Jurisdictions,13.0,40617.0,48.7,4.2,3.4,2025-10-21
Public sector,Q12025,Federal Jurisdiction,1.0,7670.0,48.0,4.7,3.7,2025-10-21
Public sector,Q12025,Provincial Jurisdiction,12.0,32947.0,48.8,4.1,3.3,2025-10-21
All sectors,Q22025,All Jurisdictions,26.0,202589.0,46.9,5.8,4.4,2025-10-21
All sectors,Q22025,Federal Jurisdiction,1.0,733.0,48.0,5.0,4.5,2025-10-21
All sectors,Q22025,Provincial Jurisdiction,25.0,201856.0,46.9,5.8,4.4,2025-10-21
Private sector,Q22025,All Jurisdictions,12.0,128621.0,47.6,7.2,5.1,2025-10-21
Private sector,Q22025,Federal Jurisdiction,1.0,733.0,48.0,5.0,4.5,2025-10-21
Private sector,Q22025,Provincial Jurisdiction,11.0,127888.0,47.6,7.2,5.1,2025-10-21
Public sector,Q22025,All Jurisdictions,14.0,73968.0,45.6,3.3,3.1,2025-10-21
Public sector,Q22025,Provincial Jurisdiction,14.0,73968.0,45.6,3.3,3.1,2025-10-21
All sectors,2016,All Jurisdictions,292.0,1194600.0,48.5,0.9,1.4,2025-10-21
All sectors,2016,Federal Jurisdiction,25.0,120168.0,44.7,1.1,1.4,2025-10-21
All sectors,2016,Provincial Jurisdiction,267.0,1074432.0,48.9,0.8,1.4,2025-10-21
Private sector,2016,All Jurisdictions,128.0,247565.0,45.4,1.5,1.5,2025-10-21
Private sector,2016,Federal Jurisdiction,15.0,27168.0,78.4,0.8,1.5,2025-10-21
Private sector,2016,Provincial Jurisdiction,113.0,220397.0,41.4,1.6,1.5,2025-10-21
Public sector,2016,All Jurisdictions,164.0,947035.0,49.2,0.7,1.3,2025-10-21
Public sector,2016,Federal Jurisdiction,10.0,93000.0,34.9,1.2,1.3,2025-10-21
Public sector,2016,Provincial Jurisdiction,154.0,854035.0,50.8,0.7,1.3,2025-10-21
All sectors,2017,All Jurisdictions,224.0,868612.0,39.8,1.7,1.7,2025-10-21
All sectors,2017,Federal Jurisdiction,46.0,209018.0,47.4,1.4,1.6,2025-10-21
All sectors,2017,Provincial Jurisdiction,178.0,659594.0,37.3,1.8,1.8,2025-10-21
Private sector,2017,All Jurisdictions,75.0,193038.0,44.9,2.6,2.0,2025-10-21
Private sector,2017,Federal Jurisdiction,23.0,40926.0,46.3,1.8,2.1,2025-10-21
Private sector,2017,Provincial Jurisdiction,52.0,152112.0,44.5,2.8,1.9,2025-10-21
Public sector,2017,All Jurisdictions,149.0,675574.0,38.3,1.4,1.7,2025-10-21
Public sector,2017,Federal Jurisdiction,23.0,168092.0,47.7,1.3,1.4,2025-10-21
Public sector,2017,Provincial Jurisdiction,126.0,507482.0,35.2,1.5,1.8,2025-10-21
All sectors,2018,All Jurisdictions,226.0,761192.0,42.7,1.4,1.4,2025-10-21
All sectors,2018,Federal Jurisdiction,30.0,78120.0,47.9,1.8,2.0,2025-10-21
All sectors,2018,Provincial Jurisdiction,196.0,683072.0,42.1,1.3,1.3,2025-10-21
Private sector,2018,All Jurisdictions,82.0,220436.0,47.4,2.3,1.9,2025-10-21
Private sector,2018,Federal Jurisdiction,16.0,29740.0,46.5,2.4,2.3,2025-10-21
Private sector,2018,Provincial Jurisdiction,66.0,190696.0,47.5,2.2,1.8,2025-10-21
Public sector,2018,All Jurisdictions,144.0,540756.0,40.7,1.0,1.2,2025-10-21
Public sector,2018,Federal Jurisdiction,14.0,48380.0,48.7,1.4,1.7,2025-10-21
Public sector,2018,Provincial Jurisdiction,130.0,492376.0,40.0,0.9,1.1,2025-10-21
All sectors,2019,All Jurisdictions,269.0,684720.0,43.1,1.8,1.8,2025-10-21
All sectors,2019,Federal Jurisdiction,40.0,102942.0,49.6,2.5,2.1,2025-10-21
All sectors,2019,Provincial Jurisdiction,229.0,581778.0,41.9,1.7,1.8,2025-10-21
Private sector,2019,All Jurisdictions,97.0,187467.0,43.2,2.0,2.1,2025-10-21
Private sector,2019,Federal Jurisdiction,16.0,25832.0,51.2,2.3,2.5,2025-10-21
Private sector,2019,Provincial Jurisdiction,81.0,161635.0,42.0,1.9,2.1,2025-10-21
Public sector,2019,All Jurisdictions,172.0,497253.0,43.0,1.7,1.7,2025-10-21
Public sector,2019,Federal Jurisdiction,24.0,77110.0,49.1,2.5,1.9,2025-10-21
Public sector,2019,Provincial Jurisdiction,148.0,420143.0,41.9,1.6,1.7,2025-10-21
All sectors,2020,All Jurisdictions,182.0,809923.0,41.4,1.8,1.9,2025-10-21
All sectors,2020,Federal Jurisdiction,30.0,261483.0,44.3,2.4,2.2,2025-10-21
All sectors,2020,Provincial Jurisdiction,152.0,548440.0,40.0,1.6,1.8,2025-10-21
Private sector,2020,All Jurisdictions,60.0,139261.0,47.0,2.0,1.7,2025-10-21
Private sector,2020,Federal Jurisdiction,17.0,39603.0,52.2,2.3,2.2,2025-10-21
Private sector,2020,Provincial Jurisdiction,43.0,99658.0,44.9,1.9,1.5,2025-10-21
Public sector,2020,All Jurisdictions,122.0,670662.0,40.2,1.8,2.0,2025-10-21
Public sector,2020,Federal Jurisdiction,13.0,221880.0,42.8,2.4,2.2,2025-10-21
Public sector,2020,Provincial Jurisdiction,109.0,448782.0,38.9,1.5,1.8,2025-10-21
All sectors,2021,All Jurisdictions,179.0,1030411.0,42.8,1.8,1.9,2025-10-21
All sectors,2021,Federal Jurisdiction,26.0,119215.0,49.1,1.9,2.4,2025-10-21
All sectors,2021,Provincial Jurisdiction,153.0,911196.0,42.0,1.8,1.9,2025-10-21
Private sector,2021,All Jurisdictions,63.0,225105.0,48.6,2.0,2.0,2025-10-21
Private sector,2021,Federal Jurisdiction,16.0,20868.0,49.7,1.9,1.9,2025-10-21
Private sector,2021,Provincial Jurisdiction,47.0,204237.0,48.5,2.0,2.0,2025-10-21
Public sector,2021,All Jurisdictions,116.0,805306.0,41.2,1.8,1.9,2025-10-21
Public sector,2021,Federal Jurisdiction,10.0,98347.0,48.9,1.9,2.5,2025-10-21
Public sector,2021,Provincial Jurisdiction,106.0,706959.0,40.1,1.8,1.9,2025-10-21
All sectors,2022,All Jurisdictions,147.0,706936.0,42.5,2.8,2.7,2025-10-21
All sectors,2022,Federal Jurisdiction,24.0,45513.0,48.7,3.4,3.0,2025-10-21
All sectors,2022,Provincial Jurisdiction,123.0,661423.0,42.1,2.8,2.7,2025-10-21
Private sector,2022,All Jurisdictions,42.0,139126.0,45.1,4.2,3.6,2025-10-21
Private sector,2022,Federal Jurisdiction,17.0,34788.0,50.2,3.5,3.0,2025-10-21
Private sector,2022,Provincial Jurisdiction,25.0,104338.0,43.4,4.4,3.7,2025-10-21
Public sector,2022,All Jurisdictions,105.0,567810.0,41.9,2.5,2.5,2025-10-21
Public sector,2022,Federal Jurisdiction,7.0,10725.0,43.7,3.4,2.8,2025-10-21
Public sector,2022,Provincial Jurisdiction,98.0,557085.0,41.9,2.5,2.5,2025-10-21
All sectors,2023,All Jurisdictions,159.0,720010.0,42.9,3.7,3.4,2025-10-21
All sectors,2023,Federal Jurisdiction,36.0,263293.0,47.1,2.7,3.2,2025-10-21
All sectors,2023,Provincial Jurisdiction,123.0,456717.0,40.5,4.3,3.4,2025-10-21
Private sector,2023,All Jurisdictions,52.0,121682.0,41.6,6.5,4.3,2025-10-21
Private sector,2023,Federal Jurisdiction,22.0,43433.0,41.3,5.1,4.1,2025-10-21
Private sector,2023,Provincial Jurisdiction,30.0,78249.0,41.7,7.3,4.4,2025-10-21
Public sector,2023,All Jurisdictions,107.0,598328.0,43.2,3.1,3.2,2025-10-21
Public sector,2023,Federal Jurisdiction,14.0,219860.0,48.2,2.2,3.0,2025-10-21
Public sector,2023,Provincial Jurisdiction,93.0,378468.0,40.2,3.7,3.2,2025-10-21
All sectors,2024,All Jurisdictions,145.0,1115557.0,50.8,4.7,3.4,2025-10-21
All sectors,2024,Federal Jurisdiction,23.0,69202.0,35.6,4.5,3.6,2025-10-21
All sectors,2024,Provincial Jurisdiction,122.0,1046355.0,51.8,4.8,3.3,2025-10-21
Private sector,2024,All Jurisdictions,34.0,72914.0,40.7,4.2,3.5,2025-10-21
Private sector,2024,Federal Jurisdiction,13.0,21359.0,32.1,4.9,4.0,2025-10-21
Private sector,2024,Provincial Jurisdiction,21.0,51555.0,44.3,3.9,3.3,2025-10-21
Public sector,2024,All Jurisdictions,111.0,1042643.0,51.5,4.8,3.3,2025-10-21
Public sector,2024,Federal Jurisdiction,10.0,47843.0,37.1,4.4,3.5,2025-10-21
Public sector,2024,Provincial Jurisdiction,101.0,994800.0,52.2,4.8,3.3,2025-10-21
All sectors,2025,All Jurisdictions,51.0,299241.0,47.6,5.8,3.9,2025-10-21
All sectors,2025,Federal Jurisdiction,9.0,17332.0,47.9,4.8,3.8,2025-10-21
All sectors,2025,Provincial Jurisdiction,42.0,281909.0,47.6,5.8,3.9,2025-10-21
Private sector,2025,All Jurisdictions,22.0,181228.0,48.2,7.2,4.3,2025-10-21
Private sector,2025,Federal Jurisdiction,7.0,8826.0,48.9,4.9,3.8,2025-10-21
Private sector,2025,Provincial Jurisdiction,15.0,172402.0,48.2,7.3,4.3,2025-10-21
Public sector,2025,All Jurisdictions,29.0,118013.0,46.6,3.6,3.2,2025-10-21
Public sector,2025,Federal Jurisdiction,2.0,8506.0,46.8,4.7,3.7,2025-10-21
