unnamed:_0_level_0,all_jurisdictions,all_jurisdictions.1,all_jurisdictions.2,all_jurisdictions.3,all_jurisdictions.4,federal_jurisdiction,federal_jurisdiction.1,federal_jurisdiction.2,federal_jurisdiction.3,federal_jurisdiction.4,provincial_jurisdiction,provincial_jurisdiction.1,provincial_jurisdiction.2,provincial_jurisdiction.3,provincial_jurisdiction.4,page_source,section,extraction_date
All sectors,27,95429,42.8,4.1,3.3,4,10857,47.9,5.6,3.8,23,84572,42.1,3.9,3.3,jurisdiction_sector,Q32024,2025-10-21
Private sector,8,13506,33.5,7.7,4.5,2,1205,54.0,12.7,4.8,6,12301,31.5,7.2,4.5,jurisdiction_sector,Q32024,2025-10-21
Public sector,19,81923,44.3,3.5,3.1,2,9652,47.2,4.7,3.7,17,72271,43.9,3.4,3.1,jurisdiction_sector,Q32024,2025-10-21
All sectors,29,177872,50.3,4.8,3.7,7,11704,46.8,4.7,3.2,22,166168,50.6,4.8,3.7,jurisdiction_sector,Q42024,2025-10-21
Private sector,9,21097,53.3,3.0,3.5,3,3194,43.5,4.4,3.2,6,17903,55.1,2.8,3.5,jurisdiction_sector,Q42024,2025-10-21
Public sector,20,156775,49.9,5.0,3.7,4,8510,48.0,4.8,3.2,16,148265,50.0,5.0,3.7,jurisdiction_sector,Q42024,2025-10-21
All sectors,21,50994,49.7,4.2,3.4,6,13263,46.3,4.9,3.8,15,37731,50.8,3.9,3.2,jurisdiction_sector,Q12025,2025-10-21
Private sector,8,10377,53.5,4.0,3.4,5,5593,44.0,5.2,3.9,3,4784,64.6,2.6,2.8,jurisdiction_sector,Q12025,2025-10-21
Public sector,13,40617,48.7,4.2,3.4,1,7670,48.0,4.7,3.7,12,32947,48.8,4.1,3.3,jurisdiction_sector,Q12025,2025-10-21
All sectors,26,202589,46.9,5.8,4.4,1,733,48.0,5.0,4.5,25,201856,46.9,5.8,4.4,jurisdiction_sector,Q22025,2025-10-21
Private sector,12,128621,47.6,7.2,5.1,1,733,48.0,5.0,4.5,11,127888,47.6,7.2,5.1,jurisdiction_sector,Q22025,2025-10-21
Public sector,14,73968,45.6,3.3,3.1,,,,,,14,73968,45.6,3.3,3.1,jurisdiction_sector,Q22025,2025-10-21
All sectors,292,1194600,48.5,0.9,1.4,25,120168,44.7,1.1,1.4,267,1074432,48.9,0.8,1.4,jurisdiction_sector,2016,2025-10-21
Private sector,128,247565,45.4,1.5,1.5,15,27168,78.4,0.8,1.5,113,220397,41.4,1.6,1.5,jurisdiction_sector,2016,2025-10-21
Public sector,164,947035,49.2,0.7,1.3,10,93000,34.9,1.2,1.3,154,854035,50.8,0.7,1.3,jurisdiction_sector,2016,2025-10-21
All sectors,224,868612,39.8,1.7,1.7,46,209018,47.4,1.4,1.6,178,659594,37.3,1.8,1.8,jurisdiction_sector,2017,2025-10-21
Private sector,75,193038,44.9,2.6,2.0,23,40926,46.3,1.8,2.1,52,152112,44.5,2.8,1.9,jurisdiction_sector,2017,2025-10-21
Public sector,149,675574,38.3,1.4,1.7,23,168092,47.7,1.3,1.4,126,507482,35.2,1.5,1.8,jurisdiction_sector,2017,2025-10-21
All sectors,226,761192,42.7,1.4,1.4,30,78120,47.9,1.8,2.0,196,683072,42.1,1.3,1.3,jurisdiction_sector,2018,2025-10-21
Private sector,82,220436,47.4,2.3,1.9,16,29740,46.5,2.4,2.3,66,190696,47.5,2.2,1.8,jurisdiction_sector,2018,2025-10-21
Public sector,144,540756,40.7,1.0,1.2,14,48380,48.7,1.4,1.7,130,492376,40.0,0.9,1.1,jurisdiction_sector,2018,2025-10-21
All sectors,269,684720,43.1,1.8,1.8,40,102942,49.6,2.5,2.1,229,581778,41.9,1.7,1.8,jurisdiction_sector,2019,2025-10-21
Private sector,97,187467,43.2,2.0,2.1,16,25832,51.2,2.3,2.5,81,161635,42.0,1.9,2.1,jurisdiction_sector,2019,2025-10-21
Public sector,172,497253,43.0,1.7,1.7,24,77110,49.1,2.5,1.9,148,420143,41.9,1.6,1.7,jurisdiction_sector,2019,2025-10-21
All sectors,182,809923,41.4,1.8,1.9,30,261483,44.3,2.4,2.2,152,548440,40.0,1.6,1.8,jurisdiction_sector,2020,2025-10-21
Private sector,60,139261,47.0,2.0,1.7,17,39603,52.2,2.3,2.2,43,99658,44.9,1.9,1.5,jurisdiction_sector,2020,2025-10-21
Public sector,122,670662,40.2,1.8,2.0,13,221880,42.8,2.4,2.2,109,448782,38.9,1.5,1.8,jurisdiction_sector,2020,2025-10-21
All sectors,179,1030411,42.8,1.8,1.9,26,119215,49.1,1.9,2.4,153,911196,42.0,1.8,1.9,jurisdiction_sector,2021,2025-10-21
Private sector,63,225105,48.6,2.0,2.0,16,20868,49.7,1.9,1.9,47,204237,48.5,2.0,2.0,jurisdiction_sector,2021,2025-10-21
Public sector,116,805306,41.2,1.8,1.9,10,98347,48.9,1.9,2.5,106,706959,40.1,1.8,1.9,jurisdiction_sector,2021,2025-10-21
All sectors,147,706936,42.5,2.8,2.7,24,45513,48.7,3.4,3.0,123,661423,42.1,2.8,2.7,jurisdiction_sector,2022,2025-10-21
Private sector,42,139126,45.1,4.2,3.6,17,34788,50.2,3.5,3.0,25,104338,43.4,4.4,3.7,jurisdiction_sector,2022,2025-10-21
Public sector,105,567810,41.9,2.5,2.5,7,10725,43.7,3.4,2.8,98,557085,41.9,2.5,2.5,jurisdiction_sector,2022,2025-10-21
All sectors,159,720010,42.9,3.7,3.4,36,263293,47.1,2.7,3.2,123,456717,40.5,4.3,3.4,jurisdiction_sector,2023,2025-10-21
Private sector,52,121682,41.6,6.5,4.3,22,43433,41.3,5.1,4.1,30,78249,41.7,7.3,4.4,jurisdiction_sector,2023,2025-10-21
Public sector,107,598328,43.2,3.1,3.2,14,219860,48.2,2.2,3.0,93,378468,40.2,3.7,3.2,jurisdiction_sector,2023,2025-10-21
All sectors,145,1115557,50.8,4.7,3.4,23,69202,35.6,4.5,3.6,122,1046355,51.8,4.8,3.3,jurisdiction_sector,2024,2025-10-21
Private sector,34,72914,40.7,4.2,3.5,13,21359,32.1,4.9,4.0,21,51555,44.3,3.9,3.3,jurisdiction_sector,2024,2025-10-21
Public sector,111,1042643,51.5,4.8,3.3,10,47843,37.1,4.4,3.5,101,994800,52.2,4.8,3.3,jurisdiction_sector,2024,2025-10-21
All sectors,51,299241,47.6,5.8,3.9,9,17332,47.9,4.8,3.8,42,281909,47.6,5.8,3.9,jurisdiction_sector,2025,2025-10-21
Private sector,22,181228,48.2,7.2,4.3,7,8826,48.9,4.9,3.8,15,172402,48.2,7.3,4.3,jurisdiction_sector,2025,2025-10-21
Public sector,29,118013,46.6,3.6,3.2,2,8506,46.8,4.7,3.7,27,109507,46.6,3.6,3.2,jurisdiction_sector,2025,2025-10-21
