unnamed:_0_level_0,total,total.1,total.2,total.3,total.4,without_cola,without_cola.1,without_cola.2,without_cola.3,without_cola.4,with_cola,with_cola.1,with_cola.2,with_cola.3,with_cola.4,page_source,section,extraction_date
Provincial administration,1,6000,36.0,6.0,3.5,1,6000,36.0,6.0,3.5,,,,,,cola_administration,October 2024,2025-10-21
Local administration,1,1100,36.0,3.0,3.0,1,1100,36.0,3.0,3.0,,,,,,cola_administration,October 2024,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,October 2024,2025-10-21
"Education, health, and social services",3,29700,47.8,2.8,4.0,3,29700,47.8,2.8,4.0,,,,,,cola_administration,October 2024,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,October 2024,2025-10-21
Public sector,6,6894,38.1,3.7,3.4,6,6894,38.1,3.7,3.4,,,,,,cola_administration,November 2024,2025-10-21
Federal administration,1,1020,48.0,4.8,3.1,1,1020,48.0,4.8,3.1,,,,,,cola_administration,November 2024,2025-10-21
Provincial administration,,,,,,,,,,,,,,,,cola_administration,November 2024,2025-10-21
Local administration,3,4327,38.6,3.3,3.3,3,4327,38.6,3.3,3.3,,,,,,cola_administration,November 2024,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,November 2024,2025-10-21
"Education, health, and social services",2,1547,30.2,4.3,3.8,2,1547,30.2,4.3,3.8,,,,,,cola_administration,November 2024,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,November 2024,2025-10-21
Public sector,8,112001,52.1,5.7,3.7,7,30328,30.8,4.7,3.9,1,81673,60.0,6.0,3.6,cola_administration,December 2024,2025-10-21
Federal administration,2,6410,48.0,4.8,3.2,2,6410,48.0,4.8,3.2,,,,,,cola_administration,December 2024,2025-10-21
Provincial administration,,,,,,,,,,,,,,,,cola_administration,December 2024,2025-10-21
Local administration,2,6148,22.2,4.1,4.4,2,6148,22.2,4.1,4.4,,,,,,cola_administration,December 2024,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,December 2024,2025-10-21
"Education, health, and social services",4,99443,54.2,5.8,3.6,3,17770,27.6,4.9,4.0,1,81673,60.0,6.0,3.6,cola_administration,December 2024,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,December 2024,2025-10-21
Public sector,3,4839,42.6,6.1,3.3,3,4839,42.6,6.1,3.3,,,,,,cola_administration,January 2025,2025-10-21
Federal administration,,,,,,,,,,,,,,,,cola_administration,January 2025,2025-10-21
Provincial administration,,,,,,,,,,,,,,,,cola_administration,January 2025,2025-10-21
Local administration,2,4252,43.6,6.5,3.4,2,4252,43.6,6.5,3.4,,,,,,cola_administration,January 2025,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,January 2025,2025-10-21
"Education, health, and social services",1,587,36.0,3.0,3.0,1,587,36.0,3.0,3.0,,,,,,cola_administration,January 2025,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,January 2025,2025-10-21
Public sector,4,10100,45.6,4.3,3.4,4,10100,45.6,4.3,3.4,,,,,,cola_administration,February 2025,2025-10-21
Federal administration,1,7670,48.0,4.7,3.7,1,7670,48.0,4.7,3.7,,,,,,cola_administration,February 2025,2025-10-21
Provincial administration,,,,,,,,,,,,,,,,cola_administration,February 2025,2025-10-21
Local administration,,,,,,,,,,,,,,,,cola_administration,February 2025,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,February 2025,2025-10-21
"Education, health, and social services",3,2430,37.9,2.7,2.6,3,2430,37.9,2.7,2.6,,,,,,cola_administration,February 2025,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,February 2025,2025-10-21
Public sector,4,17331,48.0,3.4,3.4,4,17331,48.0,3.4,3.4,,,,,,cola_administration,March 2025,2025-10-21
Federal administration,,,,,,,,,,,,,,,,cola_administration,March 2025,2025-10-21
Provincial administration,,,,,,,,,,,,,,,,cola_administration,March 2025,2025-10-21
Local administration,1,8240,48.0,3.9,3.7,1,8240,48.0,3.9,3.7,,,,,,cola_administration,March 2025,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,March 2025,2025-10-21
"Education, health, and social services",3,9091,48.0,2.9,3.2,3,9091,48.0,2.9,3.2,,,,,,cola_administration,March 2025,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,March 2025,2025-10-21
Public sector,7,56733,45.3,3.4,3.1,7,56733,45.3,3.4,3.1,,,,,,cola_administration,April 2025,2025-10-21
Federal administration,,,,,,,,,,,,,,,,cola_administration,April 2025,2025-10-21
Provincial administration,1,5713,60.0,2.8,2.5,1,5713,60.0,2.8,2.5,,,,,,cola_administration,April 2025,2025-10-21
Local administration,,,,,,,,,,,,,,,,cola_administration,April 2025,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,April 2025,2025-10-21
"Education, health, and social services",6,51020,43.6,3.4,3.2,6,51020,43.6,3.4,3.2,,,,,,cola_administration,April 2025,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,April 2025,2025-10-21
Public sector,5,14101,44.2,3.2,3.1,5,14101,44.2,3.2,3.1,,,,,,cola_administration,May 2025,2025-10-21
Federal administration,,,,,,,,,,,,,,,,cola_administration,May 2025,2025-10-21
Provincial administration,,,,,,,,,,,,,,,,cola_administration,May 2025,2025-10-21
Local administration,3,7077,42.1,3.5,3.3,3,7077,42.1,3.5,3.3,,,,,,cola_administration,May 2025,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,May 2025,2025-10-21
"Education, health, and social services",2,7024,46.4,2.9,2.9,2,7024,46.4,2.9,2.9,,,,,,cola_administration,May 2025,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,May 2025,2025-10-21
Public sector,2,3134,56.8,3.0,3.4,2,3134,56.8,3.0,3.4,,,,,,cola_administration,June 2025,2025-10-21
Federal administration,,,,,,,,,,,,,,,,cola_administration,June 2025,2025-10-21
Provincial administration,,,,,,,,,,,,,,,,cola_administration,June 2025,2025-10-21
Local administration,,,,,,,,,,,,,,,,cola_administration,June 2025,2025-10-21
Telephone and utilities,1,2300,60.0,3.0,3.5,1,2300,60.0,3.0,3.5,,,,,,cola_administration,June 2025,2025-10-21
"Education, health, and social services",1,834,48.0,3.0,3.0,1,834,48.0,3.0,3.0,,,,,,cola_administration,June 2025,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,June 2025,2025-10-21
Public sector,1,836,36.0,4.0,3.5,1,836,36.0,4.0,3.5,,,,,,cola_administration,July 2025,2025-10-21
Federal administration,1,836,36.0,4.0,3.5,1,836,36.0,4.0,3.5,,,,,,cola_administration,July 2025,2025-10-21
Provincial administration,,,,,,,,,,,,,,,,cola_administration,July 2025,2025-10-21
Local administration,,,,,,,,,,,,,,,,cola_administration,July 2025,2025-10-21
Telephone and utilities,,,,,,,,,,,,,,,,cola_administration,July 2025,2025-10-21
"Education, health, and social services",,,,,,,,,,,,,,,,cola_administration,July 2025,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,July 2025,2025-10-21
Public sector,154,931510,49.3,0.7,1.3,152,872510,50.7,0.7,1.3,2,59000,28.5,0.8,1.2,cola_administration,2016,2025-10-21
Federal administration,8,86800,34.5,1.1,1.3,6,27800,47.3,1.8,1.5,2,59000,28.5,0.8,1.2,cola_administration,2016,2025-10-21
Provincial administration,21,98310,55.1,0.9,1.4,21,98310,55.1,0.9,1.4,,,,,,cola_administration,2016,2025-10-21
Local administration,29,63730,51.2,1.7,1.7,29,63730,51.2,1.7,1.7,,,,,,cola_administration,2016,2025-10-21
Telephone and utilities,7,8110,46.8,1.3,1.5,7,8110,46.8,1.3,1.5,,,,,,cola_administration,2016,2025-10-21
"Education, health, and social services",89,674560,50.2,0.5,1.3,89,674560,50.2,0.5,1.3,,,,,,cola_administration,2016,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,2016,2025-10-21
Public sector,142,664494,38.2,1.4,1.7,142,664494,38.2,1.4,1.7,,,,,,cola_administration,2017,2025-10-21
Federal administration,22,167592,47.7,1.3,1.4,22,167592,47.7,1.3,1.4,,,,,,cola_administration,2017,2025-10-21
Provincial administration,5,59500,52.3,1.4,1.9,5,59500,52.3,1.4,1.9,,,,,,cola_administration,2017,2025-10-21
Local administration,36,47266,49.0,1.7,1.9,36,47266,49.0,1.7,1.9,,,,,,cola_administration,2017,2025-10-21
Telephone and utilities,1,690,36.0,1.2,1.7,1,690,36.0,1.2,1.7,,,,,,cola_administration,2017,2025-10-21
"Education, health, and social services",78,389446,30.6,1.5,1.7,78,389446,30.6,1.5,1.7,,,,,,cola_administration,2017,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,2017,2025-10-21
Public sector,132,520074,40.6,1.0,1.2,132,520074,40.6,1.0,1.2,,,,,,cola_administration,2018,2025-10-21
Federal administration,14,48380,48.7,1.4,1.7,14,48380,48.7,1.4,1.7,,,,,,cola_administration,2018,2025-10-21
Provincial administration,20,105026,41.3,0.8,0.9,20,105026,41.3,0.8,0.9,,,,,,cola_administration,2018,2025-10-21
Local administration,18,17053,38.5,2.6,2.1,18,17053,38.5,2.6,2.1,,,,,,cola_administration,2018,2025-10-21
Telephone and utilities,8,24956,44.3,1.2,2.0,8,24956,44.3,1.2,2.0,,,,,,cola_administration,2018,2025-10-21
"Education, health, and social services",72,324659,39.0,0.8,1.0,72,324659,39.0,0.8,1.0,,,,,,cola_administration,2018,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,2018,2025-10-21
Public sector,161,471105,42.1,1.7,1.7,161,471105,42.1,1.7,1.7,,,,,,cola_administration,2019,2025-10-21
Federal administration,23,74110,48.7,2.6,1.9,23,74110,48.7,2.6,1.9,,,,,,cola_administration,2019,2025-10-21
Provincial administration,13,47017,52.8,2.5,2.0,13,47017,52.8,2.5,2.0,,,,,,cola_administration,2019,2025-10-21
Local administration,29,40093,45.4,1.8,1.5,29,40093,45.4,1.8,1.5,,,,,,cola_administration,2019,2025-10-21
Telephone and utilities,9,18150,39.5,1.5,2.0,9,18150,39.5,1.5,2.0,,,,,,cola_administration,2019,2025-10-21
"Education, health, and social services",87,291735,38.4,1.3,1.6,87,291735,38.4,1.3,1.6,,,,,,cola_administration,2019,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,2019,2025-10-21
Public sector,111,650614,40.0,1.8,2.0,109,591614,39.0,1.8,1.9,2,59000,50.2,2.0,2.4,cola_administration,2020,2025-10-21
Federal administration,12,219680,42.7,2.5,2.2,10,160680,39.9,2.6,2.1,2,59000,50.2,2.0,2.4,cola_administration,2020,2025-10-21
Provincial administration,2,1710,32.5,2.5,2.4,2,1710,32.5,2.5,2.4,,,,,,cola_administration,2020,2025-10-21
Local administration,22,46879,53.0,1.2,1.4,22,46879,53.0,1.2,1.4,,,,,,cola_administration,2020,2025-10-21
Telephone and utilities,5,12606,44.3,1.5,1.9,5,12606,44.3,1.5,1.9,,,,,,cola_administration,2020,2025-10-21
"Education, health, and social services",70,369739,36.6,1.6,1.9,70,369739,36.6,1.6,1.9,,,,,,cola_administration,2020,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,2020,2025-10-21
Public sector,114,803688,41.1,1.8,1.9,113,761688,41.2,1.8,1.9,1,42000,39.7,2.0,2.7,cola_administration,2021,2025-10-21
Federal administration,10,98347,48.9,1.9,2.5,9,56347,55.9,1.8,2.3,1,42000,39.7,2.0,2.7,cola_administration,2021,2025-10-21
Provincial administration,7,58631,40.4,1.6,1.5,7,58631,40.4,1.6,1.5,,,,,,cola_administration,2021,2025-10-21
Local administration,24,49088,57.8,1.8,1.9,24,49088,57.8,1.8,1.9,,,,,,cola_administration,2021,2025-10-21
Telephone and utilities,6,15779,25.8,1.1,1.1,6,15779,25.8,1.1,1.1,,,,,,cola_administration,2021,2025-10-21
"Education, health, and social services",67,581843,38.9,1.8,1.9,67,581843,38.9,1.8,1.9,,,,,,cola_administration,2021,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,2021,2025-10-21
Public sector,94,538408,42.3,2.4,2.5,91,474918,43.1,2.2,2.3,3,63490,36.0,4.2,3.9,cola_administration,2022,2025-10-21
Federal administration,7,10725,43.7,3.4,2.8,7,10725,43.7,3.4,2.8,,,,,,cola_administration,2022,2025-10-21
Provincial administration,13,102743,40.7,2.4,2.4,12,102063,40.7,2.4,2.4,1,680,36.0,4.3,3.2,cola_administration,2022,2025-10-21
Local administration,13,25360,39.7,1.9,1.8,13,25360,39.7,1.9,1.8,,,,,,cola_administration,2022,2025-10-21
Telephone and utilities,4,3055,44.7,0.4,1.6,4,3055,44.7,0.4,1.6,,,,,,cola_administration,2022,2025-10-21
"Education, health, and social services",57,396525,42.8,2.4,2.5,55,333715,44.1,2.1,2.3,2,62810,36.0,4.2,3.9,cola_administration,2022,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,2022,2025-10-21
Public sector,100,587525,43.2,3.1,3.2,94,576500,43.3,3.1,3.2,6,11025,36.3,3.3,3.9,cola_administration,2023,2025-10-21
Federal administration,14,219860,48.2,2.2,3.0,14,219860,48.2,2.2,3.0,,,,,,cola_administration,2023,2025-10-21
Provincial administration,6,23384,39.7,2.8,2.8,6,23384,39.7,2.8,2.8,,,,,,cola_administration,2023,2025-10-21
Local administration,18,23289,45.7,3.0,2.8,18,23289,45.7,3.0,2.8,,,,,,cola_administration,2023,2025-10-21
Telephone and utilities,6,16896,28.6,4.1,4.0,6,16896,28.6,4.1,4.0,,,,,,cola_administration,2023,2025-10-21
"Education, health, and social services",56,304096,40.5,3.8,3.3,50,293071,40.6,3.8,3.3,6,11025,36.3,3.3,3.9,cola_administration,2023,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,2023,2025-10-21
Public sector,108,1020229,51.8,4.8,3.3,85,459390,41.8,3.3,3.1,23,560839,60.0,6.0,3.6,cola_administration,2024,2025-10-21
Federal administration,10,47843,37.1,4.4,3.5,10,47843,37.1,4.4,3.5,,,,,,cola_administration,2024,2025-10-21
Provincial administration,9,57167,48.4,3.9,3.1,9,57167,48.4,3.9,3.1,,,,,,cola_administration,2024,2025-10-21
Local administration,14,27370,36.7,2.9,3.1,14,27370,36.7,2.9,3.1,,,,,,cola_administration,2024,2025-10-21
Telephone and utilities,2,2210,36.0,3.0,2.7,2,2210,36.0,3.0,2.7,,,,,,cola_administration,2024,2025-10-21
"Education, health, and social services",73,885639,53.3,5.0,3.4,50,324800,41.8,3.1,3.0,23,560839,60.0,6.0,3.6,cola_administration,2024,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,2024,2025-10-21
Public sector,26,107074,45.7,3.6,3.2,26,107074,45.7,3.6,3.2,,,,,,cola_administration,2025,2025-10-21
Federal administration,2,8506,46.8,4.7,3.7,2,8506,46.8,4.7,3.7,,,,,,cola_administration,2025,2025-10-21
Provincial administration,1,5713,60.0,2.8,2.5,1,5713,60.0,2.8,2.5,,,,,,cola_administration,2025,2025-10-21
Local administration,6,19569,44.9,4.3,3.5,6,19569,44.9,4.3,3.5,,,,,,cola_administration,2025,2025-10-21
Telephone and utilities,1,2300,60.0,3.0,3.5,1,2300,60.0,3.0,3.5,,,,,,cola_administration,2025,2025-10-21
"Education, health, and social services",16,70986,44.2,3.3,3.1,16,70986,44.2,3.3,3.1,,,,,,cola_administration,2025,2025-10-21
Other industries,,,,,,,,,,,,,,,,cola_administration,2025,2025-10-21
