Month,Sector,Jurisdiction,Number_of_Agreements,Number_of_Employees,Duration_Months_Avg,First_Year_Pct_Adjustment_Avg,Annual_Pct_Adjustment_Avg,Extraction_Date
October 2024,Private sector,Provincial Jurisdiction,1,6696,48.0,3.5,3.1,2025-10-21
October 2024,Public sector,All Jurisdictions,6,37880,45.6,3.4,3.8,2025-10-21
October 2024,Public sector,Federal Jurisdiction,1,1080,48.0,4.7,3.2,2025-10-21
October 2024,Public sector,Provincial Jurisdiction,5,36800,45.5,3.3,3.9,2025-10-21
November 2024,All sectors,All Jurisdictions,6,6894,38.1,3.7,3.4,2025-10-21
November 2024,All sectors,Federal Jurisdiction,1,1020,48.0,4.8,3.1,2025-10-21
November 2024,All sectors,Provincial Jurisdiction,5,5874,36.4,3.5,3.4,2025-10-21
November 2024,Public sector,All Jurisdictions,6,6894,38.1,3.7,3.4,2025-10-21
November 2024,Public sector,Federal Jurisdiction,1,1020,48.0,4.8,3.1,2025-10-21
November 2024,Public sector,Provincial Jurisdiction,5,5874,36.4,3.5,3.4,2025-10-21
December 2024,All sectors,All Jurisdictions,15,125802,52.7,5.3,3.7,2025-10-21
December 2024,All sectors,Federal Jurisdiction,4,9004,48.0,4.8,3.2,2025-10-21
December 2024,All sectors,Provincial Jurisdiction,11,116798,53.0,5.4,3.7,2025-10-21
December 2024,Private sector,All Jurisdictions,7,13801,57.2,2.8,3.7,2025-10-21
December 2024,Private sector,Federal Jurisdiction,2,2594,48.0,4.7,3.2,2025-10-21
December 2024,Private sector,Provincial Jurisdiction,5,11207,59.3,2.4,3.8,2025-10-21
December 2024,Public sector,All Jurisdictions,8,112001,52.1,5.7,3.7,2025-10-21
December 2024,Public sector,Federal Jurisdiction,2,6410,48.0,4.8,3.2,2025-10-21
December 2024,Public sector,Provincial Jurisdiction,6,105591,52.4,5.7,3.7,2025-10-21
January 2025,All sectors,All Jurisdictions,7,13702,57.6,5.3,3.3,2025-10-21
January 2025,All sectors,Federal Jurisdiction,1,536,36.0,3.0,3.0,2025-10-21
January 2025,All sectors,Provincial Jurisdiction,6,13166,58.5,5.4,3.3,2025-10-21
January 2025,Private sector,All Jurisdictions,3,3916,58.0,3.6,3.2,2025-10-21
January 2025,Private sector,Federal Jurisdiction,1,536,36.0,3.0,3.0,2025-10-21
January 2025,Private sector,Provincial Jurisdiction,2,3380,61.5,3.6,3.3,2025-10-21
January 2025,Public sector,All Jurisdictions,4,9786,57.5,6.1,3.3,2025-10-21
January 2025,Public sector,Provincial Jurisdiction,4,9786,57.5,6.1,3.3,2025-10-21
February 2025,All sectors,All Jurisdictions,8,15157,45.3,4.7,3.6,2025-10-21
February 2025,All sectors,Federal Jurisdiction,5,12727,46.7,5.0,3.8,2025-10-21
February 2025,All sectors,Provincial Jurisdiction,3,2430,37.9,2.7,2.6,2025-10-21
February 2025,Private sector,All Jurisdictions,4,5057,44.9,5.5,4.0,2025-10-21
February 2025,Private sector,Federal Jurisdiction,4,5057,44.9,5.5,4.0,2025-10-21
February 2025,Public sector,All Jurisdictions,4,10100,45.6,4.3,3.4,2025-10-21
February 2025,Public sector,Federal Jurisdiction,1,7670,48.0,4.7,3.7,2025-10-21
February 2025,Public sector,Provincial Jurisdiction,3,2430,37.9,2.7,2.6,2025-10-21
March 2025,All sectors,All Jurisdictions,6,22135,47.7,3.1,3.3,2025-10-21
March 2025,All sectors,Provincial Jurisdiction,6,22135,47.7,3.1,3.3,2025-10-21
March 2025,Private sector,All Jurisdictions,1,1404,72.0,0.0,1.8,2025-10-21
March 2025,Private sector,Provincial Jurisdiction,1,1404,72.0,0.0,1.8,2025-10-21
March 2025,Public sector,All Jurisdictions,5,20731,46.0,3.4,3.4,2025-10-21
March 2025,Public sector,Provincial Jurisdiction,5,20731,46.0,3.4,3.4,2025-10-21
April 2025,All sectors,All Jurisdictions,13,172748,46.9,6.3,4.6,2025-10-21
April 2025,All sectors,Provincial Jurisdiction,13,172748,46.9,6.3,4.6,2025-10-21
April 2025,Private sector,All Jurisdictions,6,116015,47.8,7.7,5.3,2025-10-21
April 2025,Private sector,Provincial Jurisdiction,6,116015,47.8,7.7,5.3,2025-10-21
April 2025,Public sector,All Jurisdictions,7,56733,45.3,3.4,3.1,2025-10-21
April 2025,Public sector,Provincial Jurisdiction,7,56733,45.3,3.4,3.1,2025-10-21
May 2025,All sectors,All Jurisdictions,9,25184,45.1,3.1,3.0,2025-10-21
May 2025,All sectors,Provincial Jurisdiction,9,25184,45.1,3.1,3.0,2025-10-21
May 2025,Private sector,All Jurisdictions,4,11083,46.3,2.9,2.8,2025-10-21
May 2025,Private sector,Provincial Jurisdiction,4,11083,46.3,2.9,2.8,2025-10-21
May 2025,Public sector,All Jurisdictions,5,14101,44.2,3.2,3.1,2025-10-21
May 2025,Public sector,Provincial Jurisdiction,5,14101,44.2,3.2,3.1,2025-10-21
June 2025,All sectors,All Jurisdictions,4,4657,53.6,3.6,3.4,2025-10-21
June 2025,All sectors,Federal Jurisdiction,1,733,48.0,5.0,4.5,2025-10-21
June 2025,All sectors,Provincial Jurisdiction,3,3924,54.7,3.3,3.2,2025-10-21
June 2025,Private sector,All Jurisdictions,2,1523,47.1,4.7,3.5,2025-10-21
June 2025,Private sector,Federal Jurisdiction,1,733,48.0,5.0,4.5,2025-10-21
June 2025,Private sector,Provincial Jurisdiction,1,790,46.3,4.4,2.5,2025-10-21
June 2025,Public sector,All Jurisdictions,2,3134,56.8,3.0,3.4,2025-10-21
June 2025,Public sector,Provincial Jurisdiction,2,3134,56.8,3.0,3.4,2025-10-21
July 2025,All sectors,All Jurisdictions,4,45658,48.4,7.4,2.1,2025-10-21
July 2025,All sectors,Federal Jurisdiction,2,3336,54.0,4.0,3.4,2025-10-21
July 2025,All sectors,Provincial Jurisdiction,2,42322,48.0,7.7,2.0,2025-10-21
July 2025,Private sector,All Jurisdictions,2,42230,48.7,7.8,2.0,2025-10-21
July 2025,Private sector,Federal Jurisdiction,1,2500,60.0,4.0,3.4,2025-10-21
July 2025,Private sector,Provincial Jurisdiction,1,39730,48.0,8.0,1.9,2025-10-21
July 2025,Public sector,All Jurisdictions,2,3428,44.6,3.2,3.2,2025-10-21
July 2025,Public sector,Federal Jurisdiction,1,836,36.0,4.0,3.5,2025-10-21
July 2025,Public sector,Provincial Jurisdiction,1,2592,47.4,3.0,3.0,2025-10-21
Q32022,All sectors,All Jurisdictions,46,207945,47.3,2.1,1.9,2025-10-21
Q32022,All sectors,Federal Jurisdiction,13,30144,49.2,3.5,3.0,2025-10-21
Q32022,All sectors,Provincial Jurisdiction,33,177801,46.9,1.8,1.7,2025-10-21
Q32022,Private sector,All Jurisdictions,17,54160,51.9,4.7,3.4,2025-10-21
Q32022,Private sector,Federal Jurisdiction,8,24579,51.0,3.6,3.1,2025-10-21
Q32022,Private sector,Provincial Jurisdiction,9,29581,52.7,5.7,3.6,2025-10-21
Q32022,Public sector,All Jurisdictions,29,153785,45.6,1.1,1.4,2025-10-21
Q32022,Public sector,Federal Jurisdiction,5,5565,41.0,3.3,2.7,2025-10-21
Q32022,Public sector,Provincial Jurisdiction,24,148220,45.8,1.1,1.3,2025-10-21
Q42022,All sectors,All Jurisdictions,44,246342,39.3,3.9,3.6,2025-10-21
Q42022,All sectors,Federal Jurisdiction,6,9188,48.8,3.3,2.7,2025-10-21
Q42022,All sectors,Provincial Jurisdiction,38,237154,39.0,3.9,3.6,2025-10-21
Q42022,Private sector,All Jurisdictions,9,15408,46.9,4.6,3.7,2025-10-21
Q42022,Private sector,Federal Jurisdiction,5,4688,49.5,3.0,2.7,2025-10-21
Q42022,Private sector,Provincial Jurisdiction,4,10720,45.7,5.3,4.2,2025-10-21
Q42022,Public sector,All Jurisdictions,35,230934,38.8,3.8,3.6,2025-10-21
Q42022,Public sector,Federal Jurisdiction,1,4500,48.0,3.5,2.8,2025-10-21
Q42022,Public sector,Provincial Jurisdiction,34,226434,38.6,3.8,3.6,2025-10-21
Q12023,All sectors,All Jurisdictions,30,61655,42.6,3.8,3.4,2025-10-21
Q12023,All sectors,Federal Jurisdiction,5,11340,55.9,1.3,2.6,2025-10-21
Q12023,All sectors,Provincial Jurisdiction,25,50315,39.6,4.4,3.6,2025-10-21
Q12023,Private sector,All Jurisdictions,10,26380,37.8,4.8,4.0,2025-10-21
Q12023,Private sector,Federal Jurisdiction,4,9390,55.0,1.0,2.5,2025-10-21
Q12023,Private sector,Provincial Jurisdiction,6,16990,28.3,6.9,4.9,2025-10-21
Q12023,Public sector,All Jurisdictions,20,35275,46.2,3.0,3.0,2025-10-21
Q12023,Public sector,Federal Jurisdiction,1,1950,60.0,2.8,2.9,2025-10-21
Q12023,Public sector,Provincial Jurisdiction,19,33325,45.4,3.0,3.0,2025-10-21
Q22023,All sectors,All Jurisdictions,51,308518,42.4,2.6,3.0,2025-10-21
Q22023,All sectors,Federal Jurisdiction,15,189076,46.2,2.5,3.2,2025-10-21
Q22023,All sectors,Provincial Jurisdiction,36,119442,36.3,2.7,2.8,2025-10-21
Q22023,Private sector,All Jurisdictions,18,34841,30.4,6.8,4.9,2025-10-21
Q22023,Private sector,Federal Jurisdiction,9,18021,29.8,7.4,4.5,2025-10-21
Q22023,Private sector,Provincial Jurisdiction,9,16820,31.2,6.3,5.4,2025-10-21
Q22023,Public sector,All Jurisdictions,33,273677,43.9,2.0,2.8,2025-10-21
Q22023,Public sector,Federal Jurisdiction,6,171055,48.0,2.0,3.0,2025-10-21
Q22023,Public sector,Provincial Jurisdiction,27,102622,37.1,2.1,2.4,2025-10-21
Q32023,All sectors,All Jurisdictions,46,169307,37.5,5.4,4.3,2025-10-21
Q32023,All sectors,Federal Jurisdiction,12,36336,46.5,3.0,3.7,2025-10-21
Q32023,All sectors,Provincial Jurisdiction,34,132971,35.0,6.0,4.4,2025-10-21
Q32023,Private sector,All Jurisdictions,14,24965,43.1,6.5,4.5,2025-10-21
Q32023,Private sector,Federal Jurisdiction,8,15341,45.7,4.8,4.6,2025-10-21
Q32023,Private sector,Provincial Jurisdiction,6,9624,39.0,9.1,4.3,2025-10-21
Q32023,Public sector,All Jurisdictions,32,144342,36.5,5.2,4.2,2025-10-21
Q32023,Public sector,Federal Jurisdiction,4,20995,47.0,1.7,3.0,2025-10-21
Q32023,Public sector,Provincial Jurisdiction,28,123347,34.7,5.8,4.4,2025-10-21
Q42023,All sectors,All Jurisdictions,32,180530,48.9,4.0,3.0,2025-10-21
Q42023,All sectors,Federal Jurisdiction,4,26541,50.5,3.8,3.3,2025-10-21
Q42023,All sectors,Provincial Jurisdiction,28,153989,48.6,4.0,3.0,2025-10-21
Q42023,Private sector,All Jurisdictions,10,35496,54.2,7.4,3.7,2025-10-21
Q42023,Private sector,Federal Jurisdiction,1,681,60.0,5.0,4.0,2025-10-21
Q42023,Private sector,Provincial Jurisdiction,9,34815,54.0,7.4,3.7,2025-10-21
Q42023,Public sector,All Jurisdictions,22,145034,47.6,3.1,2.9,2025-10-21
Q42023,Public sector,Federal Jurisdiction,3,25860,50.2,3.8,3.2,2025-10-21
Q42023,Public sector,Provincial Jurisdiction,19,119174,47.0,3.0,2.8,2025-10-21
Q12024,All sectors,All Jurisdictions,33,188927,45.9,3.0,2.6,2025-10-21
Q12024,All sectors,Federal Jurisdiction,6,14181,44.7,4.6,2.7,2025-10-21
Q12024,All sectors,Provincial Jurisdiction,27,174746,46.0,2.9,2.6,2025-10-21
Q12024,Private sector,All Jurisdictions,8,21291,42.5,2.6,2.4,2025-10-21
Q12024,Private sector,Federal Jurisdiction,3,3500,50.4,4.9,3.3,2025-10-21
Q12024,Private sector,Provincial Jurisdiction,5,17791,40.9,2.2,2.2,2025-10-21
Q12024,Public sector,All Jurisdictions,25,167636,46.3,3.1,2.6,2025-10-21
Q12024,Public sector,Federal Jurisdiction,3,10681,42.8,4.5,2.6,2025-10-21
Q12024,Public sector,Provincial Jurisdiction,22,156955,46.6,3.0,2.6,2025-10-21
Q22024,All sectors,All Jurisdictions,56,653329,53.5,5.3,3.5,2025-10-21
Q22024,All sectors,Federal Jurisdiction,6,32460,23.5,4.1,4.1,2025-10-21
Q22024,All sectors,Provincial Jurisdiction,50,620869,55.1,5.4,3.5,2025-10-21
Q22024,Private sector,All Jurisdictions,9,17020,28.5,4.9,4.2,2025-10-21
Q22024,Private sector,Federal Jurisdiction,5,13460,22.7,4.2,4.2,2025-10-21
Q22024,Private sector,Provincial Jurisdiction,4,3560,50.7,7.3,3.9,2025-10-21
Q22024,Public sector,All Jurisdictions,47,636309,54.2,5.3,3.5,2025-10-21
Q22024,Public sector,Federal Jurisdiction,1,19000,24.0,4.0,4.0,2025-10-21
Q22024,Public sector,Provincial Jurisdiction,46,617309,55.1,5.4,3.5,2025-10-21
Q32024,All sectors,All Jurisdictions,27,95429,42.8,4.1,3.3,2025-10-21
Q32024,All sectors,Federal Jurisdiction,4,10857,47.9,5.6,3.8,2025-10-21
Q32024,All sectors,Provincial Jurisdiction,23,84572,42.1,3.9,3.3,2025-10-21
Q32024,Private sector,All Jurisdictions,8,13506,33.5,7.7,4.5,2025-10-21
Q32024,Private sector,Federal Jurisdiction,2,1205,54.0,12.7,4.8,2025-10-21
Q32024,Private sector,Provincial Jurisdiction,6,12301,31.5,7.2,4.5,2025-10-21
Q32024,Public sector,All Jurisdictions,19,81923,44.3,3.5,3.1,2025-10-21
Q32024,Public sector,Federal Jurisdiction,2,9652,47.2,4.7,3.7,2025-10-21
Q32024,Public sector,Provincial Jurisdiction,17,72271,43.9,3.4,3.1,2025-10-21
Q42024,All sectors,All Jurisdictions,29,177872,50.3,4.8,3.7,2025-10-21
Q42024,All sectors,Federal Jurisdiction,7,11704,46.8,4.7,3.2,2025-10-21
Q42024,All sectors,Provincial Jurisdiction,22,166168,50.6,4.8,3.7,2025-10-21
Q42024,Private sector,All Jurisdictions,9,21097,53.3,3.0,3.5,2025-10-21
Q42024,Private sector,Federal Jurisdiction,3,3194,43.5,4.4,3.2,2025-10-21
Q42024,Private sector,Provincial Jurisdiction,6,17903,55.1,2.8,3.5,2025-10-21
Q42024,Public sector,All Jurisdictions,20,156775,49.9,5.0,3.7,2025-10-21
Q42024,Public sector,Federal Jurisdiction,4,8510,48.0,4.8,3.2,2025-10-21
Q42024,Public sector,Provincial Jurisdiction,16,148265,50.0,5.0,3.7,2025-10-21
Q12025,All sectors,All Jurisdictions,21,50994,49.7,4.2,3.4,2025-10-21
Q12025,All sectors,Federal Jurisdiction,6,13263,46.3,4.9,3.8,2025-10-21
Q12025,All sectors,Provincial Jurisdiction,15,37731,50.8,3.9,3.2,2025-10-21
Q12025,Private sector,All Jurisdictions,8,10377,53.5,4.0,3.4,2025-10-21
Q12025,Private sector,Federal Jurisdiction,5,5593,44.0,5.2,3.9,2025-10-21
Q12025,Private sector,Provincial Jurisdiction,3,4784,64.6,2.6,2.8,2025-10-21
Q12025,Public sector,All Jurisdictions,13,40617,48.7,4.2,3.4,2025-10-21
Q12025,Public sector,Federal Jurisdiction,1,7670,48.0,4.7,3.7,2025-10-21
Q12025,Public sector,Provincial Jurisdiction,12,32947,48.8,4.1,3.3,2025-10-21
Q22025,All sectors,All Jurisdictions,26,202589,46.9,5.8,4.4,2025-10-21
Q22025,All sectors,Federal Jurisdiction,1,733,48.0,5.0,4.5,2025-10-21
Q22025,All sectors,Provincial Jurisdiction,25,201856,46.9,5.8,4.4,2025-10-21
Q22025,Private sector,All Jurisdictions,12,128621,47.6,7.2,5.1,2025-10-21
Q22025,Private sector,Federal Jurisdiction,1,733,48.0,5.0,4.5,2025-10-21
Q22025,Private sector,Provincial Jurisdiction,11,127888,47.6,7.2,5.1,2025-10-21
Q22025,Public sector,All Jurisdictions,14,73968,45.6,3.3,3.1,2025-10-21
Q22025,Public sector,Provincial Jurisdiction,14,73968,45.6,3.3,3.1,2025-10-21
2016,All sectors,All Jurisdictions,292,1194600,48.5,0.9,1.4,2025-10-21
2016,All sectors,Federal Jurisdiction,25,120168,44.7,1.1,1.4,2025-10-21
2016,All sectors,Provincial Jurisdiction,267,1074432,48.9,0.8,1.4,2025-10-21
2016,Private sector,All Jurisdictions,128,247565,45.4,1.5,1.5,2025-10-21
2016,Private sector,Federal Jurisdiction,15,27168,78.4,0.8,1.5,2025-10-21
2016,Private sector,Provincial Jurisdiction,113,220397,41.4,1.6,1.5,2025-10-21
2016,Public sector,All Jurisdictions,164,947035,49.2,0.7,1.3,2025-10-21
2016,Public sector,Federal Jurisdiction,10,93000,34.9,1.2,1.3,2025-10-21
2016,Public sector,Provincial Jurisdiction,154,854035,50.8,0.7,1.3,2025-10-21
2017,All sectors,All Jurisdictions,224,868612,39.8,1.7,1.7,2025-10-21
2017,All sectors,Federal Jurisdiction,46,209018,47.4,1.4,1.6,2025-10-21
2017,All sectors,Provincial Jurisdiction,178,659594,37.3,1.8,1.8,2025-10-21
2017,Private sector,All Jurisdictions,75,193038,44.9,2.6,2.0,2025-10-21
2017,Private sector,Federal Jurisdiction,23,40926,46.3,1.8,2.1,2025-10-21
2017,Private sector,Provincial Jurisdiction,52,152112,44.5,2.8,1.9,2025-10-21
2017,Public sector,All Jurisdictions,149,675574,38.3,1.4,1.7,2025-10-21
2017,Public sector,Federal Jurisdiction,23,168092,47.7,1.3,1.4,2025-10-21
2017,Public sector,Provincial Jurisdiction,126,507482,35.2,1.5,1.8,2025-10-21
2018,All sectors,All Jurisdictions,226,761192,42.7,1.4,1.4,2025-10-21
2018,All sectors,Federal Jurisdiction,30,78120,47.9,1.8,2.0,2025-10-21
2018,All sectors,Provincial Jurisdiction,196,683072,42.1,1.3,1.3,2025-10-21
2018,Private sector,All Jurisdictions,82,220436,47.4,2.3,1.9,2025-10-21
2018,Private sector,Federal Jurisdiction,16,29740,46.5,2.4,2.3,2025-10-21
2018,Private sector,Provincial Jurisdiction,66,190696,47.5,2.2,1.8,2025-10-21
2018,Public sector,All Jurisdictions,144,540756,40.7,1.0,1.2,2025-10-21
2018,Public sector,Federal Jurisdiction,14,48380,48.7,1.4,1.7,2025-10-21
2018,Public sector,Provincial Jurisdiction,130,492376,40.0,0.9,1.1,2025-10-21
2019,All sectors,All Jurisdictions,269,684720,43.1,1.8,1.8,2025-10-21
2019,All sectors,Federal Jurisdiction,40,102942,49.6,2.5,2.1,2025-10-21
2019,All sectors,Provincial Jurisdiction,229,581778,41.9,1.7,1.8,2025-10-21
2019,Private sector,All Jurisdictions,97,187467,43.2,2.0,2.1,2025-10-21
2019,Private sector,Federal Jurisdiction,16,25832,51.2,2.3,2.5,2025-10-21
2019,Private sector,Provincial Jurisdiction,81,161635,42.0,1.9,2.1,2025-10-21
2019,Public sector,All Jurisdictions,172,497253,43.0,1.7,1.7,2025-10-21
2019,Public sector,Federal Jurisdiction,24,77110,49.1,2.5,1.9,2025-10-21
2019,Public sector,Provincial Jurisdiction,148,420143,41.9,1.6,1.7,2025-10-21
2020,All sectors,All Jurisdictions,182,809923,41.4,1.8,1.9,2025-10-21
2020,All sectors,Federal Jurisdiction,30,261483,44.3,2.4,2.2,2025-10-21
2020,All sectors,Provincial Jurisdiction,152,548440,40.0,1.6,1.8,2025-10-21
2020,Private sector,All Jurisdictions,60,139261,47.0,2.0,1.7,2025-10-21
2020,Private sector,Federal Jurisdiction,17,39603,52.2,2.3,2.2,2025-10-21
2020,Private sector,Provincial Jurisdiction,43,99658,44.9,1.9,1.5,2025-10-21
2020,Public sector,All Jurisdictions,122,670662,40.2,1.8,2.0,2025-10-21
2020,Public sector,Federal Jurisdiction,13,221880,42.8,2.4,2.2,2025-10-21
2020,Public sector,Provincial Jurisdiction,109,448782,38.9,1.5,1.8,2025-10-21
2021,All sectors,All Jurisdictions,179,1030411,42.8,1.8,1.9,2025-10-21
2021,All sectors,Federal Jurisdiction,26,119215,49.1,1.9,2.4,2025-10-21
2021,All sectors,Provincial Jurisdiction,153,911196,42.0,1.8,1.9,2025-10-21
2021,Private sector,All Jurisdictions,63,225105,48.6,2.0,2.0,2025-10-21
2021,Private sector,Federal Jurisdiction,16,20868,49.7,1.9,1.9,2025-10-21
2021,Private sector,Provincial Jurisdiction,47,204237,48.5,2.0,2.0,2025-10-21
2021,Public sector,All Jurisdictions,116,805306,41.2,1.8,1.9,2025-10-21
2021,Public sector,Federal Jurisdiction,10,98347,48.9,1.9,2.5,2025-10-21
2021,Public sector,Provincial Jurisdiction,106,706959,40.1,1.8,1.9,2025-10-21
2022,All sectors,All Jurisdictions,147,706936,42.5,2.8,2.7,2025-10-21
2022,All sectors,Federal Jurisdiction,24,45513,48.7,3.4,3.0,2025-10-21
2022,All sectors,Provincial Jurisdiction,123,661423,42.1,2.8,2.7,2025-10-21
2022,Private sector,All Jurisdictions,42,139126,45.1,4.2,3.6,2025-10-21
2022,Private sector,Federal Jurisdiction,17,34788,50.2,3.5,3.0,2025-10-21
2022,Private sector,Provincial Jurisdiction,25,104338,43.4,4.4,3.7,2025-10-21
2022,Public sector,All Jurisdictions,105,567810,41.9,2.5,2.5,2025-10-21
2022,Public sector,Federal Jurisdiction,7,10725,43.7,3.4,2.8,2025-10-21
2022,Public sector,Provincial Jurisdiction,98,557085,41.9,2.5,2.5,2025-10-21
2023,All sectors,All Jurisdictions,159,720010,42.9,3.7,3.4,2025-10-21
2023,All sectors,Federal Jurisdiction,36,263293,47.1,2.7,3.2,2025-10-21
2023,All sectors,Provincial Jurisdiction,123,456717,40.5,4.3,3.4,2025-10-21
2023,Private sector,All Jurisdictions,52,121682,41.6,6.5,4.3,2025-10-21
2023,Private sector,Federal Jurisdiction,22,43433,41.3,5.1,4.1,2025-10-21
2023,Private sector,Provincial Jurisdiction,30,78249,41.7,7.3,4.4,2025-10-21
2023,Public sector,All Jurisdictions,107,598328,43.2,3.1,3.2,2025-10-21
2023,Public sector,Federal Jurisdiction,14,219860,48.2,2.2,3.0,2025-10-21
2023,Public sector,Provincial Jurisdiction,93,378468,40.2,3.7,3.2,2025-10-21
2024,All sectors,All Jurisdictions,145,1115557,50.8,4.7,3.4,2025-10-21
2024,All sectors,Federal Jurisdiction,23,69202,35.6,4.5,3.6,2025-10-21
2024,All sectors,Provincial Jurisdiction,122,1046355,51.8,4.8,3.3,2025-10-21
2024,Private sector,All Jurisdictions,34,72914,40.7,4.2,3.5,2025-10-21
2024,Private sector,Federal Jurisdiction,13,21359,32.1,4.9,4.0,2025-10-21
2024,Private sector,Provincial Jurisdiction,21,51555,44.3,3.9,3.3,2025-10-21
2024,Public sector,All Jurisdictions,111,1042643,51.5,4.8,3.3,2025-10-21
2024,Public sector,Federal Jurisdiction,10,47843,37.1,4.4,3.5,2025-10-21
2024,Public sector,Provincial Jurisdiction,101,994800,52.2,4.8,3.3,2025-10-21
2025,All sectors,All Jurisdictions,51,299241,47.6,5.8,3.9,2025-10-21
2025,All sectors,Federal Jurisdiction,9,17332,47.9,4.8,3.8,2025-10-21
2025,All sectors,Provincial Jurisdiction,42,281909,47.6,5.8,3.9,2025-10-21
2025,Private sector,All Jurisdictions,22,181228,48.2,7.2,4.3,2025-10-21
2025,Private sector,Federal Jurisdiction,7,8826,48.9,4.9,3.8,2025-10-21
2025,Private sector,Provincial Jurisdiction,15,172402,48.2,7.3,4.3,2025-10-21
2025,Public sector,All Jurisdictions,29,118013,46.6,3.6,3.2,2025-10-21
2025,Public sector,Federal Jurisdiction,2,8506,46.8,4.7,3.7,2025-10-21
2025,Public sector,Provincial Jurisdiction,27,109507,46.6,3.6,3.2,2025-10-21
,Unnamed: 0_level_1,All Jurisdictions,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),
,Unnamed: 0_level_1,Federal Jurisdiction,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),
,Unnamed: 0_level_1,Provincial Jurisdiction,Number of agreements,Number of employees,Duration of agreements in months (average),First year percentage adjustment (average),Annual percentage adjustment (average),
All industries,Q3 2022,All Jurisdictions,46,207945,47.3,2.1,1.9,2025-10-21
All industries,Q3 2022,Federal Jurisdiction,13,30144,49.2,3.5,3.0,2025-10-21
All industries,Q3 2022,Provincial Jurisdiction,33,177801,46.9,1.8,1.7,2025-10-21
All industries,Q4 2022,All Jurisdictions,44,246342,39.3,3.9,3.6,2025-10-21
All industries,Q4 2022,Federal Jurisdiction,6,9188,48.8,3.3,2.7,2025-10-21
All industries,Q4 2022,Provincial Jurisdiction,38,237154,39.0,3.9,3.6,2025-10-21
All industries,Q1 2023,All Jurisdictions,30,61655,42.6,3.8,3.4,2025-10-21
All industries,Q1 2023,Federal Jurisdiction,5,11340,55.9,1.3,2.6,2025-10-21
All industries,Q1 2023,Provincial Jurisdiction,25,50315,39.6,4.4,3.6,2025-10-21
All industries,Q2 2023,All Jurisdictions,51,308518,42.4,2.6,3.0,2025-10-21
All industries,Q2 2023,Federal Jurisdiction,15,189076,46.2,2.5,3.2,2025-10-21
All industries,Q2 2023,Provincial Jurisdiction,36,119442,36.3,2.7,2.8,2025-10-21
All industries,Q3 2023,All Jurisdictions,46,169307,37.5,5.4,4.3,2025-10-21
All industries,Q3 2023,Federal Jurisdiction,12,36336,46.5,3.0,3.7,2025-10-21
All industries,Q3 2023,Provincial Jurisdiction,34,132971,35.0,6.0,4.4,2025-10-21
All industries,Q4 2023,All Jurisdictions,32,180530,48.9,4.0,3.0,2025-10-21
All industries,Q4 2023,Federal Jurisdiction,4,26541,50.5,3.8,3.3,2025-10-21
All industries,Q4 2023,Provincial Jurisdiction,28,153989,48.6,4.0,3.0,2025-10-21
All industries,Q1 2024,All Jurisdictions,33,188927,45.9,3.0,2.6,2025-10-21
All industries,Q1 2024,Federal Jurisdiction,6,14181,44.7,4.6,2.7,2025-10-21
