Month,Industry,Sector_Type,Number_of_Agreements,Number_of_Employees,Duration_Months_Avg,First_Year_Pct_Adjustment_Avg,Annual_Pct_Adjustment_Avg,Extraction_Date
December 2024,Utilities,Private Sector,1,1151,24.0,4.0,3.7,2025-10-21
December 2024,Manufacturing,All Sectors,1,1400,60.0,8.0,4.5,2025-10-21
December 2024,Manufacturing,Private Sector,1,1400,60.0,8.0,4.5,2025-10-21
December 2024,Transportation,All Sectors,3,4394,48.0,4.0,3.1,2025-10-21
December 2024,Transportation,Private Sector,3,4394,48.0,4.0,3.1,2025-10-21
December 2024,Finance and professional services,All Sectors,1,6295,72.0,0.0,3.6,2025-10-21
December 2024,Finance and professional services,Private Sector,1,6295,72.0,0.0,3.6,2025-10-21
December 2024,"Education, health, and social services",All Sectors,4,99443,54.2,5.8,3.6,2025-10-21
December 2024,"Education, health, and social services",Public Sector,4,99443,54.2,5.8,3.6,2025-10-21
December 2024,Entertainment and hospitality,All Sectors,1,561,24.0,10.0,6.9,2025-10-21
December 2024,Entertainment and hospitality,Private Sector,1,561,24.0,10.0,6.9,2025-10-21
December 2024,Public administration,All Sectors,4,12558,35.3,4.5,3.8,2025-10-21
December 2024,Public administration,Public Sector,4,12558,35.3,4.5,3.8,2025-10-21
January 2025,All industries,All Sectors,7,13702,57.6,5.3,3.3,2025-10-21
January 2025,All industries,Private Sector,3,3916,58.0,3.6,3.2,2025-10-21
January 2025,All industries,Public Sector,4,9786,57.5,6.1,3.3,2025-10-21
January 2025,Primary industries,All Sectors,1,536,36.0,3.0,3.0,2025-10-21
January 2025,Primary industries,Private Sector,1,536,36.0,3.0,3.0,2025-10-21
January 2025,Utilities,All Sectors,1,980,36.0,2.8,3.5,2025-10-21
January 2025,Utilities,Private Sector,1,980,36.0,2.8,3.5,2025-10-21
January 2025,Manufacturing,All Sectors,1,2400,72.0,4.0,3.2,2025-10-21
January 2025,Manufacturing,Private Sector,1,2400,72.0,4.0,3.2,2025-10-21
January 2025,Wholesale and retail trade,All Sectors,1,4947,72.0,6.0,3.3,2025-10-21
January 2025,Wholesale and retail trade,Public Sector,1,4947,72.0,6.0,3.3,2025-10-21
January 2025,"Education, health, and social services",All Sectors,1,587,36.0,3.0,3.0,2025-10-21
January 2025,"Education, health, and social services",Public Sector,1,587,36.0,3.0,3.0,2025-10-21
January 2025,Public administration,All Sectors,2,4252,43.6,6.5,3.4,2025-10-21
January 2025,Public administration,Public Sector,2,4252,43.6,6.5,3.4,2025-10-21
February 2025,All industries,All Sectors,8,15157,45.3,4.7,3.6,2025-10-21
February 2025,All industries,Private Sector,4,5057,44.9,5.5,4.0,2025-10-21
February 2025,All industries,Public Sector,4,10100,45.6,4.3,3.4,2025-10-21
February 2025,Transportation,All Sectors,4,5057,44.9,5.5,4.0,2025-10-21
February 2025,Transportation,Private Sector,4,5057,44.9,5.5,4.0,2025-10-21
February 2025,"Education, health, and social services",All Sectors,3,2430,37.9,2.7,2.6,2025-10-21
February 2025,"Education, health, and social services",Public Sector,3,2430,37.9,2.7,2.6,2025-10-21
February 2025,Public administration,All Sectors,1,7670,48.0,4.7,3.7,2025-10-21
February 2025,Public administration,Public Sector,1,7670,48.0,4.7,3.7,2025-10-21
March 2025,All industries,All Sectors,6,22135,47.7,3.1,3.3,2025-10-21
March 2025,All industries,Private Sector,1,1404,72.0,0.0,1.8,2025-10-21
March 2025,All industries,Public Sector,5,20731,46.0,3.4,3.4,2025-10-21
March 2025,Transportation,All Sectors,1,3400,36.0,3.0,3.2,2025-10-21
March 2025,Transportation,Public Sector,1,3400,36.0,3.0,3.2,2025-10-21
March 2025,"Education, health, and social services",All Sectors,4,10495,51.2,2.6,3.0,2025-10-21
March 2025,"Education, health, and social services",Private Sector,1,1404,72.0,0.0,1.8,2025-10-21
March 2025,"Education, health, and social services",Public Sector,3,9091,48.0,2.9,3.2,2025-10-21
March 2025,Public administration,All Sectors,1,8240,48.0,3.9,3.7,2025-10-21
March 2025,Public administration,Public Sector,1,8240,48.0,3.9,3.7,2025-10-21
April 2025,All industries,All Sectors,13,172748,46.9,6.3,4.6,2025-10-21
April 2025,All industries,Private Sector,6,116015,47.8,7.7,5.3,2025-10-21
April 2025,All industries,Public Sector,7,56733,45.3,3.4,3.1,2025-10-21
April 2025,Construction,All Sectors,4,113531,48.0,7.6,5.3,2025-10-21
April 2025,Construction,Private Sector,4,113531,48.0,7.6,5.3,2025-10-21
April 2025,Wholesale and retail trade,All Sectors,1,878,60.0,6.7,3.9,2025-10-21
April 2025,Wholesale and retail trade,Private Sector,1,878,60.0,6.7,3.9,2025-10-21
April 2025,"Education, health, and social services",All Sectors,6,51020,43.6,3.4,3.2,2025-10-21
April 2025,"Education, health, and social services",Public Sector,6,51020,43.6,3.4,3.2,2025-10-21
April 2025,Entertainment and hospitality,All Sectors,1,1606,24.0,10.8,10.2,2025-10-21
April 2025,Entertainment and hospitality,Private Sector,1,1606,24.0,10.8,10.2,2025-10-21
April 2025,Public administration,All Sectors,1,5713,60.0,2.8,2.5,2025-10-21
April 2025,Public administration,Public Sector,1,5713,60.0,2.8,2.5,2025-10-21
May 2025,All industries,All Sectors,9,25184,45.1,3.1,3.0,2025-10-21
May 2025,All industries,Private Sector,4,11083,46.3,2.9,2.8,2025-10-21
May 2025,All industries,Public Sector,5,14101,44.2,3.2,3.1,2025-10-21
May 2025,Construction,All Sectors,3,9533,47.9,2.7,2.5,2025-10-21
May 2025,Construction,Private Sector,3,9533,47.9,2.7,2.5,2025-10-21
May 2025,Finance and professional services,All Sectors,1,1550,36.0,4.2,4.6,2025-10-21
May 2025,Finance and professional services,Private Sector,1,1550,36.0,4.2,4.6,2025-10-21
May 2025,"Education, health, and social services",All Sectors,2,7024,46.4,2.9,2.9,2025-10-21
May 2025,"Education, health, and social services",Public Sector,2,7024,46.4,2.9,2.9,2025-10-21
May 2025,Public administration,All Sectors,3,7077,42.1,3.5,3.3,2025-10-21
May 2025,Public administration,Public Sector,3,7077,42.1,3.5,3.3,2025-10-21
June 2025,All industries,All Sectors,4,4657,53.6,3.6,3.4,2025-10-21
June 2025,All industries,Private Sector,2,1523,47.1,4.7,3.5,2025-10-21
June 2025,All industries,Public Sector,2,3134,56.8,3.0,3.4,2025-10-21
June 2025,Utilities,All Sectors,1,2300,60.0,3.0,3.5,2025-10-21
June 2025,Utilities,Public Sector,1,2300,60.0,3.0,3.5,2025-10-21
June 2025,Construction,All Sectors,1,790,46.3,4.4,2.5,2025-10-21
June 2025,Construction,Private Sector,1,790,46.3,4.4,2.5,2025-10-21
June 2025,Transportation,All Sectors,1,733,48.0,5.0,4.5,2025-10-21
June 2025,Transportation,Private Sector,1,733,48.0,5.0,4.5,2025-10-21
June 2025,"Education, health, and social services",All Sectors,1,834,48.0,3.0,3.0,2025-10-21
June 2025,"Education, health, and social services",Public Sector,1,834,48.0,3.0,3.0,2025-10-21
July 2025,All industries,All Sectors,4,45658,48.4,7.4,2.1,2025-10-21
July 2025,All industries,Private Sector,2,42230,48.7,7.8,2.0,2025-10-21
July 2025,All industries,Public Sector,2,3428,44.6,3.2,3.2,2025-10-21
July 2025,Construction,All Sectors,1,39730,48.0,8.0,1.9,2025-10-21
July 2025,Construction,Private Sector,1,39730,48.0,8.0,1.9,2025-10-21
July 2025,Transportation,All Sectors,1,2592,47.4,3.0,3.0,2025-10-21
July 2025,Transportation,Public Sector,1,2592,47.4,3.0,3.0,2025-10-21
July 2025,Information and culture,All Sectors,1,2500,60.0,4.0,3.4,2025-10-21
July 2025,Information and culture,Private Sector,1,2500,60.0,4.0,3.4,2025-10-21
July 2025,Finance and professional services,All Sectors,1,836,36.0,4.0,3.5,2025-10-21
July 2025,Finance and professional services,Public Sector,1,836,36.0,4.0,3.5,2025-10-21
Q32022,All industries,All Sectors,46,207945,47.3,2.1,1.9,2025-10-21
Q32022,All industries,Private Sector,17,54160,51.9,4.7,3.4,2025-10-21
Q32022,All industries,Public Sector,29,153785,45.6,1.1,1.4,2025-10-21
Q32022,Primary industries,All Sectors,1,1011,60.0,2.0,2.0,2025-10-21
Q32022,Primary industries,Private Sector,1,1011,60.0,2.0,2.0,2025-10-21
Q32022,Utilities,All Sectors,2,1425,47.6,0.3,1.0,2025-10-21
Q32022,Utilities,Public Sector,2,1425,47.6,0.3,1.0,2025-10-21
Q32022,Construction,All Sectors,3,8120,34.5,10.8,6.0,2025-10-21
Q32022,Construction,Private Sector,3,8120,34.5,10.8,6.0,2025-10-21
Q32022,Manufacturing,All Sectors,3,3650,60.0,11.8,4.8,2025-10-21
Q32022,Manufacturing,Private Sector,3,3650,60.0,11.8,4.8,2025-10-21
Q32022,Transportation,All Sectors,8,19994,49.5,3.9,3.3,2025-10-21
Q32022,Transportation,Private Sector,5,17889,51.1,3.7,3.2,2025-10-21
Q32022,Transportation,Public Sector,3,2105,36.0,5.5,3.8,2025-10-21
Q32022,Information and culture,All Sectors,6,10870,47.6,2.4,2.2,2025-10-21
Q32022,Information and culture,Private Sector,3,6690,50.8,3.1,2.6,2025-10-21
Q32022,Information and culture,Public Sector,3,4180,42.5,1.3,1.5,2025-10-21
Q32022,Finance and professional services,All Sectors,4,18860,57.6,1.7,2.0,2025-10-21
Q32022,Finance and professional services,Private Sector,1,16000,60.0,1.8,2.2,2025-10-21
Q32022,Finance and professional services,Public Sector,3,2860,44.1,0.8,1.1,2025-10-21
Q32022,"Education, health, and social services",All Sectors,13,95502,48.6,0.5,1.1,2025-10-21
Q32022,"Education, health, and social services",Public Sector,13,95502,48.6,0.5,1.1,2025-10-21
Q32022,Entertainment and hospitality,All Sectors,1,800,48.0,8.6,4.4,2025-10-21
Q32022,Entertainment and hospitality,Private Sector,1,800,48.0,8.6,4.4,2025-10-21
Q32022,Public administration,All Sectors,5,47713,40.5,2.2,1.9,2025-10-21
Q32022,Public administration,Public Sector,5,47713,40.5,2.2,1.9,2025-10-21
Q42022,All industries,All Sectors,44,246342,39.3,3.9,3.6,2025-10-21
Q42022,All industries,Private Sector,9,15408,46.9,4.6,3.7,2025-10-21
Q42022,All industries,Public Sector,35,230934,38.8,3.8,3.6,2025-10-21
Q42022,Utilities,All Sectors,1,780,35.9,1.0,2.3,2025-10-21
Q42022,Utilities,Public Sector,1,780,35.9,1.0,2.3,2025-10-21
Q42022,Construction,All Sectors,1,790,30.1,12.5,6.7,2025-10-21
Q42022,Construction,Private Sector,1,790,30.1,12.5,6.7,2025-10-21
Q42022,Manufacturing,All Sectors,2,2560,43.9,6.5,4.2,2025-10-21
Q42022,Manufacturing,Private Sector,2,2560,43.9,6.5,4.2,2025-10-21
Q42022,Wholesale and retail trade,All Sectors,1,787,48.0,1.0,0.6,2025-10-21
Q42022,Wholesale and retail trade,Public Sector,1,787,48.0,1.0,0.6,2025-10-21
Q42022,Transportation,All Sectors,4,4088,51.5,3.2,2.8,2025-10-21
Q42022,Transportation,Private Sector,4,4088,51.5,3.2,2.8,2025-10-21
Q42022,Information and culture,All Sectors,1,600,36.0,2.0,2.0,2025-10-21
Q42022,Information and culture,Private Sector,1,600,36.0,2.0,2.0,2025-10-21
Q42022,"Education, health, and social services",All Sectors,21,197159,38.2,4.1,3.8,2025-10-21
Q42022,"Education, health, and social services",Private Sector,1,7370,48.0,4.1,3.9,2025-10-21
Q42022,"Education, health, and social services",Public Sector,20,189789,37.8,4.1,3.8,2025-10-21
Q42022,Public administration,All Sectors,13,39578,43.5,2.7,2.4,2025-10-21
Q42022,Public administration,Public Sector,13,39578,43.5,2.7,2.4,2025-10-21
Q12023,All industries,All Sectors,30,61655,42.6,3.8,3.4,2025-10-21
Q12023,All industries,Private Sector,10,26380,37.8,4.8,4.0,2025-10-21
Q12023,All industries,Public Sector,20,35275,46.2,3.0,3.0,2025-10-21
Q12023,Primary industries,All Sectors,1,750,48.0,3.5,2.9,2025-10-21
Q12023,Primary industries,Private Sector,1,750,48.0,3.5,2.9,2025-10-21
Q12023,Utilities,All Sectors,3,2972,40.1,2.2,2.6,2025-10-21
Q12023,Utilities,Private Sector,1,994,36.0,2.8,2.7,2025-10-21
Q12023,Utilities,Public Sector,2,1978,42.2,2.0,2.5,2025-10-21
Q12023,Construction,All Sectors,3,14650,26.5,7.5,5.2,2025-10-21
Q12023,Construction,Private Sector,3,14650,26.5,7.5,5.2,2025-10-21
Q12023,Manufacturing,All Sectors,1,596,36.0,3.9,3.0,2025-10-21
Q12023,Manufacturing,Private Sector,1,596,36.0,3.9,3.0,2025-10-21
Q12023,Transportation,All Sectors,3,4553,34.5,1.4,1.8,2025-10-21
Q12023,Transportation,Private Sector,2,1837,31.7,3.6,3.0,2025-10-21
Q12023,Transportation,Public Sector,1,2716,36.4,0.0,1.0,2025-10-21
Q12023,Information and culture,All Sectors,1,6918,63.0,0.0,2.2,2025-10-21
Q12023,Information and culture,Private Sector,1,6918,63.0,0.0,2.2,2025-10-21
Q12023,Finance and professional services,All Sectors,1,635,36.0,4.5,4.2,2025-10-21
Q12023,Finance and professional services,Private Sector,1,635,36.0,4.5,4.2,2025-10-21
Q12023,"Education, health, and social services",All Sectors,12,22421,45.3,3.9,3.6,2025-10-21
Q12023,"Education, health, and social services",Public Sector,12,22421,45.3,3.9,3.6,2025-10-21
Q12023,Public administration,All Sectors,5,8160,53.1,2.0,2.2,2025-10-21
Q12023,Public administration,Public Sector,5,8160,53.1,2.0,2.2,2025-10-21
Q22023,All industries,All Sectors,51,308518,42.4,2.6,3.0,2025-10-21
Q22023,All industries,Private Sector,18,34841,30.4,6.8,4.9,2025-10-21
Q22023,All industries,Public Sector,33,273677,43.9,2.0,2.8,2025-10-21
Q22023,Utilities,All Sectors,3,7554,27.1,4.3,3.7,2025-10-21
Q22023,Utilities,Private Sector,1,1264,36.0,3.0,2.7,2025-10-21
Q22023,Utilities,Public Sector,2,6290,25.3,4.5,3.9,2025-10-21
Q22023,Construction,All Sectors,4,9202,24.0,8.4,7.3,2025-10-21
Q22023,Construction,Private Sector,4,9202,24.0,8.4,7.3,2025-10-21
Q22023,Manufacturing,All Sectors,2,1800,42.9,4.1,3.7,2025-10-21
Q22023,Manufacturing,Private Sector,2,1800,42.9,4.1,3.7,2025-10-21
Q22023,Transportation,All Sectors,10,19783,28.7,6.6,4.1,2025-10-21
Q22023,Transportation,Private Sector,7,17431,27.0,6.9,4.2,2025-10-21
Q22023,Transportation,Public Sector,3,2352,41.7,4.5,3.3,2025-10-21
Q22023,Information and culture,All Sectors,1,2160,48.1,3.2,3.2,2025-10-21
Q22023,Information and culture,Private Sector,1,2160,48.1,3.2,3.2,2025-10-21
Q22023,Finance and professional services,All Sectors,3,2984,47.8,7.5,4.4,2025-10-21
Q22023,Finance and professional services,Private Sector,3,2984,47.8,7.5,4.4,2025-10-21
Q22023,"Education, health, and social services",All Sectors,20,81194,37.4,1.7,2.2,2025-10-21
Q22023,"Education, health, and social services",Public Sector,20,81194,37.4,1.7,2.2,2025-10-21
Q22023,Public administration,All Sectors,8,183841,47.4,2.0,3.0,2025-10-21
Q22023,Public administration,Public Sector,8,183841,47.4,2.0,3.0,2025-10-21
Q32023,All industries,All Sectors,46,169307,37.5,5.4,4.3,2025-10-21
Q32023,All industries,Private Sector,14,24965,43.1,6.5,4.5,2025-10-21
Q32023,All industries,Public Sector,32,144342,36.5,5.2,4.2,2025-10-21
Q32023,Utilities,All Sectors,1,5408,30.0,4.5,4.8,2025-10-21
Q32023,Utilities,Public Sector,1,5408,30.0,4.5,4.8,2025-10-21
Q32023,Construction,All Sectors,2,1849,56.8,12.8,4.0,2025-10-21
Q32023,Construction,Private Sector,2,1849,56.8,12.8,4.0,2025-10-21
Q32023,Manufacturing,All Sectors,3,7490,37.7,9.0,4.9,2025-10-21
Q32023,Manufacturing,Private Sector,3,7490,37.7,9.0,4.9,2025-10-21
Q32023,Wholesale and retail trade,All Sectors,1,1400,36.0,2.0,4.0,2025-10-21
Q32023,Wholesale and retail trade,Public Sector,1,1400,36.0,2.0,4.0,2025-10-21
Q32023,Transportation,All Sectors,7,16358,43.9,4.5,4.3,2025-10-21
Q32023,Transportation,Private Sector,5,12608,44.5,4.8,5.0,2025-10-21
Q32023,Transportation,Public Sector,2,3750,42.0,3.3,2.1,2025-10-21
Q32023,Information and culture,All Sectors,2,1883,46.8,5.5,2.6,2025-10-21
Q32023,Information and culture,Private Sector,2,1883,46.8,5.5,2.6,2025-10-21
Q32023,"Education, health, and social services",All Sectors,16,101311,33.6,6.2,4.6,2025-10-21
Q32023,"Education, health, and social services",Private Sector,2,1135,34.2,0.0,0.6,2025-10-21
Q32023,"Education, health, and social services",Public Sector,14,100176,33.6,6.3,4.7,2025-10-21
Q32023,Public administration,All Sectors,14,33608,45.8,2.4,3.0,2025-10-21
Q32023,Public administration,Public Sector,14,33608,45.8,2.4,3.0,2025-10-21
Q42023,All industries,All Sectors,32,180530,48.9,4.0,3.0,2025-10-21
Q42023,All industries,Private Sector,10,35496,54.2,7.4,3.7,2025-10-21
Q42023,All industries,Public Sector,22,145034,47.6,3.1,2.9,2025-10-21
Q42023,Utilities,All Sectors,1,3220,24.0,3.7,3.5,2025-10-21
Q42023,Utilities,Public Sector,1,3220,24.0,3.7,3.5,2025-10-21
Q42023,Manufacturing,All Sectors,3,13000,36.4,9.8,5.2,2025-10-21
Q42023,Manufacturing,Private Sector,3,13000,36.4,9.8,5.2,2025-10-21
Q42023,Wholesale and retail trade,All Sectors,3,11979,60.0,9.8,4.0,2025-10-21
Q42023,Wholesale and retail trade,Private Sector,3,11979,60.0,9.8,4.0,2025-10-21
Q42023,Transportation,All Sectors,4,4178,63.8,2.4,3.1,2025-10-21
Q42023,Transportation,Private Sector,1,681,60.0,5.0,4.0,2025-10-21
Q42023,Transportation,Public Sector,3,3497,64.5,1.9,3.0,2025-10-21
Q42023,"Education, health, and social services",All Sectors,13,110141,50.6,2.8,2.6,2025-10-21
Q42023,"Education, health, and social services",Private Sector,3,9836,70.1,1.4,1.6,2025-10-21
Q42023,"Education, health, and social services",Public Sector,10,100305,48.7,3.0,2.7,2025-10-21
Q42023,Public administration,All Sectors,8,38012,45.2,3.5,3.2,2025-10-21
Q42023,Public administration,Public Sector,8,38012,45.2,3.5,3.2,2025-10-21
Q12024,All industries,All Sectors,33,188927,45.9,3.0,2.6,2025-10-21
Q12024,All industries,Private Sector,8,21291,42.5,2.6,2.4,2025-10-21
Q12024,All industries,Public Sector,25,167636,46.3,3.1,2.6,2025-10-21
Q12024,Primary industries,All Sectors,1,3317,36.0,5.0,4.0,2025-10-21
Q12024,Primary industries,Private Sector,1,3317,36.0,5.0,4.0,2025-10-21
Q12024,Utilities,All Sectors,1,520,36.0,3.0,2.7,2025-10-21
Q12024,Utilities,Public Sector,1,520,36.0,3.0,2.7,2025-10-21
Q12024,Manufacturing,All Sectors,1,1303,36.0,7.8,4.6,2025-10-21
Q12024,Manufacturing,Private Sector,1,1303,36.0,7.8,4.6,2025-10-21
Q12024,Transportation,All Sectors,1,2100,60.0,8.2,5.4,2025-10-21
Q12024,Transportation,Private Sector,1,2100,60.0,8.2,5.4,2025-10-21
Q12024,Information and culture,All Sectors,3,6400,39.1,3.3,1.8,2025-10-21
Q12024,Information and culture,Private Sector,2,1800,47.2,2.9,2.2,2025-10-21
Q12024,Information and culture,Public Sector,1,4600,36.0,3.5,1.7,2025-10-21
Q12024,Finance and professional services,All Sectors,1,900,12.0,0.0,0.0,2025-10-21
Q12024,Finance and professional services,Private Sector,1,900,12.0,0.0,0.0,2025-10-21
Q12024,"Education, health, and social services",All Sectors,19,144591,46.4,2.8,2.5,2025-10-21
Q12024,"Education, health, and social services",Private Sector,2,11871,43.5,0.6,1.3,2025-10-21
Q12024,"Education, health, and social services",Public Sector,17,132720,46.6,3.0,2.6,2025-10-21
Q12024,Public administration,All Sectors,6,29796,46.6,3.1,2.9,2025-10-21
Q12024,Public administration,Public Sector,6,29796,46.6,3.1,2.9,2025-10-21
Q22024,All industries,All Sectors,56,653329,53.5,5.3,3.5,2025-10-21
Q22024,All industries,Private Sector,9,17020,28.5,4.9,4.2,2025-10-21
Q22024,All industries,Public Sector,47,636309,54.2,5.3,3.5,2025-10-21
Q22024,Utilities,All Sectors,1,1690,36.0,3.0,2.7,2025-10-21
Q22024,Utilities,Public Sector,1,1690,36.0,3.0,2.7,2025-10-21
Q22024,Construction,All Sectors,1,700,48.0,2.8,2.6,2025-10-21
Q22024,Construction,Private Sector,1,700,48.0,2.8,2.6,2025-10-21
Q22024,Manufacturing,All Sectors,3,2540,51.8,8.2,4.3,2025-10-21
Q22024,Manufacturing,Private Sector,3,2540,51.8,8.2,4.3,2025-10-21
Q22024,Transportation,All Sectors,3,15250,37.1,4.4,4.0,2025-10-21
Q22024,Transportation,Private Sector,2,3750,40.5,3.1,3.1,2025-10-21
Q22024,Transportation,Public Sector,1,11500,36.0,4.8,4.3,2025-10-21
Q22024,Information and culture,All Sectors,3,2205,45.4,2.8,2.4,2025-10-21
Q22024,Information and culture,Private Sector,2,1520,44.1,4.0,2.9,2025-10-21
Q22024,Information and culture,Public Sector,1,685,48.3,0.0,1.5,2025-10-21
Q22024,Finance and professional services,All Sectors,1,8510,12.0,5.0,5.0,2025-10-21
Q22024,Finance and professional services,Private Sector,1,8510,12.0,5.0,5.0,2025-10-21
Q22024,"Education, health, and social services",All Sectors,37,586903,55.8,5.5,3.5,2025-10-21
Q22024,"Education, health, and social services",Public Sector,37,586903,55.8,5.5,3.5,2025-10-21
Q22024,Public administration,All Sectors,7,35531,34.8,3.5,3.4,2025-10-21
Q22024,Public administration,Public Sector,7,35531,34.8,3.5,3.4,2025-10-21
Q32024,All industries,All Sectors,27,95429,42.8,4.1,3.3,2025-10-21
Q32024,All industries,Private Sector,8,13506,33.5,7.7,4.5,2025-10-21
Q32024,All industries,Public Sector,19,81923,44.3,3.5,3.1,2025-10-21
Q32024,Manufacturing,All Sectors,2,3561,29.8,13.8,8.5,2025-10-21
Q32024,Manufacturing,Private Sector,2,3561,29.8,13.8,8.5,2025-10-21
Q32024,Wholesale and retail trade,All Sectors,1,10229,36.0,3.0,2.6,2025-10-21
Q32024,Wholesale and retail trade,Public Sector,1,10229,36.0,3.0,2.6,2025-10-21
Q32024,Transportation,All Sectors,3,1857,47.7,9.7,4.3,2025-10-21
Q32024,Transportation,Private Sector,2,1205,54.0,12.7,4.8,2025-10-21
Q32024,Transportation,Public Sector,1,652,36.0,4.0,3.3,2025-10-21
Q32024,Finance and professional services,All Sectors,3,7990,31.8,4.5,2.8,2025-10-21
Q32024,Finance and professional services,Private Sector,3,7990,31.8,4.5,2.8,2025-10-21
Q32024,"Education, health, and social services",All Sectors,10,35326,41.8,2.8,3.0,2025-10-21
Q32024,"Education, health, and social services",Public Sector,10,35326,41.8,2.8,3.0,2025-10-21
Q32024,Entertainment and hospitality,All Sectors,1,750,36.0,5.0,3.7,2025-10-21
Q32024,Entertainment and hospitality,Private Sector,1,750,36.0,5.0,3.7,2025-10-21
Q32024,Public administration,All Sectors,7,35716,49.3,4.4,3.4,2025-10-21
Q32024,Public administration,Public Sector,7,35716,49.3,4.4,3.4,2025-10-21
Q42024,All industries,All Sectors,29,177872,50.3,4.8,3.7,2025-10-21
Q42024,All industries,Private Sector,9,21097,53.3,3.0,3.5,2025-10-21
Q42024,All industries,Public Sector,20,156775,49.9,5.0,3.7,2025-10-21
Q42024,Utilities,All Sectors,1,1151,24.0,4.0,3.7,2025-10-21
Q42024,Utilities,Private Sector,1,1151,24.0,4.0,3.7,2025-10-21
Q42024,Manufacturing,All Sectors,1,1400,60.0,8.0,4.5,2025-10-21
Q42024,Manufacturing,Private Sector,1,1400,60.0,8.0,4.5,2025-10-21
Q42024,Transportation,All Sectors,4,4994,45.1,3.9,3.1,2025-10-21
Q42024,Transportation,Private Sector,4,4994,45.1,3.9,3.1,2025-10-21
Q42024,Finance and professional services,All Sectors,2,7315,68.6,0.7,3.5,2025-10-21
